unit,cycle,state,drift_alert,structural_drift_score,lead_time_hours,lead_time_confidence,system_health
1,1,STABLE,False,0.0,,0.0,100
1,2,STABLE,False,0.0,,0.0,100
1,3,STABLE,False,0.0,,0.0,100
1,4,STABLE,False,0.0,,0.0,100
1,5,STABLE,False,0.0,,0.0,100
1,6,STABLE,False,0.0,,0.0,100
1,7,STABLE,False,0.0,,0.0,100
1,8,STABLE,False,0.0,,0.0,100
1,9,STABLE,False,0.0,,0.0,100
1,10,STABLE,False,0.0,,0.0,100
1,11,STABLE,False,0.0,,0.0,100
1,12,STABLE,False,0.0,,0.0,100
1,13,STABLE,False,0.0,,0.0,100
1,14,STABLE,False,0.0,,0.0,100
1,15,STABLE,False,0.0,,0.0,100
1,16,STABLE,False,0.0,,0.0,100
1,17,STABLE,False,0.0,,0.0,100
1,18,STABLE,False,0.0,,0.0,100
1,19,STABLE,False,0.0,,0.0,100
1,20,STABLE,False,0.0,,0.0,100
1,21,STABLE,False,0.0,,0.0,100
1,22,STABLE,False,0.0,,0.0,100
1,23,STABLE,False,0.0,,0.0,100
1,24,STABLE,False,16.7546,,0.99,40
1,25,STABLE,False,34.6971,0.0,0.99,40
1,26,WATCH,False,27.5155,,0.99,40
1,27,ALERT,True,18.1258,,0.99,40
1,28,ALERT,True,25.1241,0.0,0.99,40
1,29,WATCH,False,42.5306,0.0,0.99,40
1,30,WATCH,False,32.4689,,0.99,40
1,31,WATCH,False,25.3909,,0.99,40
1,32,WATCH,False,831290.9153,0.0,0.35,20
1,33,WATCH,False,877864.8893,0.0,0.35,20
1,34,WATCH,False,925336.3808,0.0,0.35,20
1,35,WATCH,False,893328.767,,0.35,20
1,36,WATCH,False,832473.692,,0.35,20
1,37,WATCH,False,823731.2838,,0.35,20
1,38,WATCH,False,804313.5082,,0.35,20
1,39,WATCH,False,787650.0625,,0.35,20
1,40,WATCH,False,792107.6982,0.0,0.35,20
1,41,WATCH,False,801948.2866,0.0,0.35,20
1,42,STABLE,False,795816.4545,,0.35,20
1,43,STABLE,False,733299.5448,,0.35,20
1,44,STABLE,False,715301.6255,,0.35,20
1,45,STABLE,False,775332.8582,0.0,0.35,20
1,46,STABLE,False,766470.0232,,0.35,20
1,47,STABLE,False,768679.9555,0.0,0.35,20
1,48,WATCH,False,827634.185,0.0,0.35,20
1,49,WATCH,False,804747.7292,,0.35,20
1,50,WATCH,False,767099.5456,,0.35,20
1,51,WATCH,False,806970.2186,0.0,0.35,20
1,52,WATCH,False,881608.1396,0.0,0.35,20
1,53,WATCH,False,936843.0932,0.0,0.35,20
1,54,WATCH,False,910232.6962,,0.35,20
1,55,STABLE,False,836431.9048,,0.35,20
1,56,WATCH,False,771951.6473,,0.35,20
1,57,WATCH,False,727537.4174,,0.35,20
1,58,WATCH,False,730821.6684,0.0,0.35,20
1,59,WATCH,False,796382.445,0.0,0.35,20
1,60,WATCH,False,871086.0972,0.0,0.35,20
1,61,WATCH,False,874306.2479,0.0,0.35,20
1,62,WATCH,False,875998.8039,0.0,0.35,20
1,63,WATCH,False,902436.024,0.0,0.35,20
1,64,STABLE,False,849765.3558,,0.35,20
1,65,WATCH,False,824029.9589,,0.35,20
1,66,WATCH,False,861234.5159,0.0,0.35,20
1,67,WATCH,False,865953.9855,0.0,0.35,20
1,68,WATCH,False,893671.128,0.0,0.35,20
1,69,WATCH,False,935382.1591,0.0,0.35,20
1,70,WATCH,False,893385.3844,,0.35,20
1,71,WATCH,False,819088.8336,,0.35,20
1,72,WATCH,False,807318.8248,,0.35,20
1,73,WATCH,False,770131.8152,,0.35,20
1,74,WATCH,False,718774.8469,,0.35,20
1,75,WATCH,False,785089.2926,0.0,0.35,20
1,76,WATCH,False,853383.2379,0.0,0.35,20
1,77,WATCH,False,863931.3238,0.0,0.35,20
1,78,WATCH,False,906722.8376,0.0,0.35,20
1,79,WATCH,False,895939.9256,,0.35,20
1,80,WATCH,False,866401.3243,,0.35,20
1,81,WATCH,False,864297.9692,,0.35,20
1,82,WATCH,False,854940.7951,,0.35,20
1,83,WATCH,False,867713.6216,0.0,0.35,20
1,84,WATCH,False,881851.1169,0.0,0.35,20
1,85,WATCH,False,850482.961,,0.35,20
1,86,WATCH,False,795847.1461,,0.35,20
1,87,WATCH,False,816169.148,0.0,0.35,20
1,88,WATCH,False,843310.1329,0.0,0.35,20
1,89,STABLE,False,795522.9897,,0.35,20
1,90,STABLE,False,796455.6529,0.0,0.35,20
1,91,WATCH,False,804152.0588,0.0,0.35,20
