unit,last_cycle,true_rul,watch_cycle,alert_cycle,failure_cycle,watch_lead,alert_lead,has_watch,has_alert,alert_quality
1,230,22,86.0,,252,166.0,,True,False,miss
2,153,39,78.0,,192,114.0,,True,False,miss
3,141,107,60.0,136.0,248,188.0,112.0,True,True,good
4,208,75,78.0,200.0,283,205.0,83.0,True,True,usable
5,51,149,38.0,,200,162.0,,True,False,miss
6,146,78,60.0,63.0,224,164.0,161.0,True,True,good
7,54,94,40.0,,148,108.0,,True,False,miss
8,248,14,60.0,238.0,262,202.0,24.0,True,True,last_minute
9,284,99,68.0,120.0,383,315.0,263.0,True,True,very_early
10,23,162,,,185,,,False,False,miss
11,82,143,58.0,,225,167.0,,True,False,miss
12,270,7,60.0,238.0,277,217.0,39.0,True,True,usable
13,227,71,60.0,73.0,298,238.0,225.0,True,True,very_early
14,102,105,60.0,,207,147.0,,True,False,miss
15,168,12,78.0,96.0,180,102.0,84.0,True,True,usable
16,240,160,60.0,63.0,400,340.0,337.0,True,True,very_early
17,334,162,153.0,,496,343.0,,True,False,miss
18,247,104,60.0,126.0,351,291.0,225.0,True,True,very_early
19,24,194,,,218,,,False,False,miss
20,115,82,60.0,,197,137.0,,True,False,miss
21,202,91,90.0,160.0,293,203.0,133.0,True,True,good
22,158,11,69.0,138.0,169,100.0,31.0,True,True,usable
23,162,26,60.0,,188,128.0,,True,False,miss
24,174,142,87.0,125.0,316,229.0,191.0,True,True,good
25,486,39,73.0,441.0,525,452.0,84.0,True,True,usable
26,90,92,63.0,,182,119.0,,True,False,miss
27,144,76,60.0,,220,160.0,,True,False,miss
28,20,124,,,144,,,False,False,miss
29,216,64,86.0,216.0,280,194.0,64.0,True,True,usable
30,229,118,86.0,199.0,347,261.0,148.0,True,True,good
31,134,6,60.0,,140,80.0,,True,False,miss
32,260,22,79.0,192.0,282,203.0,90.0,True,True,usable
33,107,147,69.0,,254,185.0,,True,False,miss
34,361,126,60.0,296.0,487,427.0,191.0,True,True,good
35,278,36,90.0,214.0,314,224.0,100.0,True,True,good
36,159,73,60.0,88.0,232,172.0,144.0,True,True,good
37,345,89,60.0,121.0,434,374.0,313.0,True,True,very_early
38,125,11,60.0,,136,76.0,,True,False,miss
39,214,151,60.0,,365,305.0,,True,False,miss
40,266,10,102.0,249.0,276,174.0,27.0,True,True,last_minute
41,414,97,216.0,,511,295.0,,True,False,miss
42,200,30,62.0,68.0,230,168.0,162.0,True,True,good
43,120,42,64.0,94.0,162,98.0,68.0,True,True,usable
44,406,60,110.0,318.0,466,356.0,148.0,True,True,good
45,78,85,56.0,,163,107.0,,True,False,miss
46,37,134,29.0,,171,142.0,,True,False,miss
47,224,34,61.0,218.0,258,197.0,40.0,True,True,usable
48,214,45,113.0,195.0,259,146.0,64.0,True,True,usable
49,273,24,66.0,219.0,297,231.0,78.0,True,True,usable
50,206,86,60.0,138.0,292,232.0,154.0,True,True,good
