t,file_name,drift,drift_smooth,state,state_num,drift_diff
1,2004.02.12.10.32.39,0.0,0.0,STABLE,0,
2,2004.02.12.10.42.39,0.0,0.0,STABLE,0,0.0
3,2004.02.12.10.52.39,0.0,0.0,STABLE,0,0.0
4,2004.02.12.11.02.39,0.0,0.0,STABLE,0,0.0
5,2004.02.12.11.12.39,0.0,0.0,STABLE,0,0.0
6,2004.02.12.11.22.39,0.0,0.0,STABLE,0,0.0
7,2004.02.12.11.32.39,0.0,0.0,STABLE,0,0.0
8,2004.02.12.11.42.39,0.0,0.0,STABLE,0,0.0
9,2004.02.12.11.52.39,0.0,0.0,STABLE,0,0.0
10,2004.02.12.12.02.39,0.0,0.0,STABLE,0,0.0
11,2004.02.12.12.12.39,0.0,0.0,STABLE,0,0.0
12,2004.02.12.12.22.39,0.0,0.0,STABLE,0,0.0
13,2004.02.12.12.32.39,0.0,0.0,STABLE,0,0.0
14,2004.02.12.12.42.39,0.0,0.0,STABLE,0,0.0
15,2004.02.12.12.52.39,0.0,0.0,STABLE,0,0.0
16,2004.02.12.13.02.39,0.0,0.0,STABLE,0,0.0
17,2004.02.12.13.12.39,0.0,0.0,STABLE,0,0.0
18,2004.02.12.13.22.39,0.0,0.0,STABLE,0,0.0
19,2004.02.12.13.32.39,0.0,0.0,STABLE,0,0.0
20,2004.02.12.13.42.39,0.0,0.0,STABLE,0,0.0
21,2004.02.12.13.52.39,0.0,0.0,STABLE,0,0.0
22,2004.02.12.14.02.39,0.0,0.0,STABLE,0,0.0
23,2004.02.12.14.12.39,0.0,0.0,STABLE,0,0.0
24,2004.02.12.14.22.39,0.7759,0.032329166666666666,STABLE,0,0.032329166666666666
25,2004.02.12.14.32.39,0.6514,0.057092000000000004,STABLE,0,0.024762833333333338
26,2004.02.12.14.42.39,0.5241,0.078056,STABLE,0,0.020963999999999997
27,2004.02.12.14.52.39,0.8832,0.113384,STABLE,0,0.035328
28,2004.02.12.15.02.39,0.7399,0.14298,STABLE,0,0.029595999999999997
29,2004.02.12.15.12.39,0.5297,0.16416799999999998,STABLE,0,0.021187999999999985
30,2004.02.12.15.22.39,0.7431,0.19389199999999998,STABLE,0,0.029724
31,2004.02.12.15.32.39,0.81,0.22629200000000002,STABLE,0,0.03240000000000004
32,2004.02.12.15.42.39,0.8546,0.260476,STABLE,0,0.034183999999999964
33,2004.02.12.15.52.39,0.8978,0.296388,STABLE,0,0.035912
34,2004.02.12.16.02.39,0.7996,0.32837200000000005,STABLE,0,0.03198400000000007
35,2004.02.12.16.12.39,1.1088,0.372724,STABLE,0,0.04435199999999995
36,2004.02.12.16.22.39,1.1351,0.41812800000000006,STABLE,0,0.045404000000000055
37,2004.02.12.16.32.39,1.1961,0.465972,STABLE,0,0.04784399999999994
38,2004.02.12.16.42.39,1.0877,0.50948,STABLE,0,0.04350800000000005
39,2004.02.12.16.52.39,0.885,0.54488,STABLE,0,0.03539999999999999
40,2004.02.12.17.02.39,1.0068,0.585152,STABLE,0,0.040271999999999974
41,2004.02.12.17.12.39,1.0938,0.628904,STABLE,0,0.04375200000000001
42,2004.02.12.17.22.39,0.8392,0.662472,STABLE,0,0.03356799999999993
43,2004.02.12.17.32.39,1.0521,0.7045560000000001,STABLE,0,0.04208400000000012
44,2004.02.12.17.42.39,1.2317,0.753824,STABLE,0,0.04926799999999998
45,2004.02.12.17.52.39,1.0974,0.7977200000000001,STABLE,0,0.043896000000000046
46,2004.02.12.18.02.39,1.0974,0.8416159999999999,STABLE,0,0.043895999999999824
47,2004.02.12.18.12.39,0.7771,0.8726999999999999,STABLE,0,0.031084
48,2004.02.12.18.22.39,0.6341,0.898064,STABLE,0,0.025364000000000053
49,2004.02.12.18.32.39,0.9459,0.904864,STABLE,0,0.006800000000000028
50,2004.02.12.18.42.39,1.1609,0.925244,STABLE,0,0.020379999999999954
51,2004.02.12.18.52.39,1.2382,0.953808,STABLE,0,0.028564000000000034
52,2004.02.12.19.02.39,1.3815,0.9737399999999999,STABLE,0,0.01993199999999995
53,2004.02.12.19.12.39,1.1501,0.9901479999999999,STABLE,0,0.016407999999999978
54,2004.02.12.19.22.39,1.6056,1.0331839999999999,STABLE,0,0.04303599999999996
55,2004.02.12.19.32.39,1.1072,1.047748,STABLE,0,0.014564000000000021
56,2004.02.12.19.42.39,1.1931,1.063072,STABLE,0,0.015324000000000115
57,2004.02.12.19.52.39,1.2352,1.078296,STABLE,0,0.015223999999999904
58,2004.02.12.20.02.39,1.2349,1.09178,STABLE,0,0.013484000000000052
