t,file_name,raw_state,drift,drift_smooth,state,state_num
1,2004.02.12.10.32.39,STABLE,0.0,0.0,STABLE,0
2,2004.02.12.10.42.39,STABLE,0.0,0.0,STABLE,0
3,2004.02.12.10.52.39,STABLE,0.0,0.0,STABLE,0
4,2004.02.12.11.02.39,STABLE,0.0,0.0,STABLE,0
5,2004.02.12.11.12.39,STABLE,0.0,0.0,STABLE,0
6,2004.02.12.11.22.39,STABLE,0.0,0.0,STABLE,0
7,2004.02.12.11.32.39,STABLE,0.0,0.0,STABLE,0
8,2004.02.12.11.42.39,STABLE,0.0,0.0,STABLE,0
9,2004.02.12.11.52.39,STABLE,0.0,0.0,STABLE,0
10,2004.02.12.12.02.39,STABLE,0.0,0.0,STABLE,0
11,2004.02.12.12.12.39,STABLE,0.0,0.0,STABLE,0
12,2004.02.12.12.22.39,STABLE,0.0,0.0,STABLE,0
13,2004.02.12.12.32.39,STABLE,0.0,0.0,STABLE,0
14,2004.02.12.12.42.39,STABLE,0.0,0.0,STABLE,0
15,2004.02.12.12.52.39,STABLE,0.0,0.0,STABLE,0
16,2004.02.12.13.02.39,STABLE,0.0,0.0,STABLE,0
17,2004.02.12.13.12.39,STABLE,0.0,0.0,STABLE,0
18,2004.02.12.13.22.39,STABLE,0.0,0.0,STABLE,0
19,2004.02.12.13.32.39,STABLE,0.0,0.0,STABLE,0
20,2004.02.12.13.42.39,STABLE,0.0,0.0,STABLE,0
21,2004.02.12.13.52.39,STABLE,0.0,0.0,STABLE,0
22,2004.02.12.14.02.39,STABLE,0.0,0.0,STABLE,0
23,2004.02.12.14.12.39,STABLE,0.0,0.0,STABLE,0
24,2004.02.12.14.22.39,STABLE,1.4988,0.06245,STABLE,0
25,2004.02.12.14.32.39,STABLE,3.2878,0.191464,STABLE,0
26,2004.02.12.14.42.39,WATCH,4.0351,0.352868,STABLE,0
27,2004.02.12.14.52.39,WATCH,2.0938,0.43662,STABLE,0
28,2004.02.12.15.02.39,WATCH,1.8403,0.510232,STABLE,0
29,2004.02.12.15.12.39,WATCH,1.3194,0.563008,STABLE,0
30,2004.02.12.15.22.39,WATCH,1.3557,0.617236,STABLE,0
31,2004.02.12.15.32.39,WATCH,1.7753,0.688248,STABLE,0
32,2004.02.12.15.42.39,WATCH,2.2708,0.77908,STABLE,0
33,2004.02.12.15.52.39,WATCH,2.2267,0.8681479999999999,STABLE,0
34,2004.02.12.16.02.39,WATCH,2.1583,0.9544799999999999,STABLE,0
35,2004.02.12.16.12.39,WATCH,2.8992,1.0704479999999998,STABLE,0
36,2004.02.12.16.22.39,WATCH,2.6684,1.177184,STABLE,0
37,2004.02.12.16.32.39,WATCH,2.3098,1.269576,STABLE,0
38,2004.02.12.16.42.39,WATCH,2.1811,1.35682,STABLE,0
39,2004.02.12.16.52.39,WATCH,2.5701,1.459624,STABLE,0
40,2004.02.12.17.02.39,WATCH,2.4399,1.55722,STABLE,0
41,2004.02.12.17.12.39,WATCH,2.504,1.65738,STABLE,0
42,2004.02.12.17.22.39,WATCH,1.9453,1.735192,STABLE,0
43,2004.02.12.17.32.39,WATCH,2.5943,1.838964,STABLE,0
44,2004.02.12.17.42.39,WATCH,3.1589,1.9653200000000002,STABLE,0
45,2004.02.12.17.52.39,ALERT,3.7037,2.113468,STABLE,0
46,2004.02.12.18.02.39,WATCH,2.9349,2.230864,STABLE,0
