building_id,meter,warning_index,n_cycles,warning_ratio
0,0,1313,8757,0.14993719310266074
1,0,1313,8757,0.14993719310266074
2,0,1313,8757,0.14993719310266074
3,0,1313,8757,0.14993719310266074
4,0,1313,8757,0.14993719310266074
5,0,1313,8757,0.14993719310266074
6,0,1313,8757,0.14993719310266074
7,0,1313,8757,0.14993719310266074
7,1,1086,7244,0.14991717283268913
8,0,1313,8757,0.14993719310266074
9,0,1313,8757,0.14993719310266074
9,1,1086,7242,0.1499585749792875
10,0,1313,8757,0.14993719310266074
11,0,1313,8757,0.14993719310266074
12,0,1313,8757,0.14993719310266074
13,0,1313,8757,0.14993719310266074
13,1,1037,6917,0.14992048575972242
14,0,1313,8757,0.14993719310266074
14,1,1086,7246,0.14987579354126415
15,0,1313,8757,0.14993719310266074
15,1,1086,7246,0.14987579354126415
16,0,1313,8757,0.14993719310266074
17,0,1313,8757,0.14993719310266074
18,0,1313,8757,0.14993719310266074
19,0,1313,8757,0.14993719310266074
20,0,1313,8757,0.14993719310266074
21,0,1313,8757,0.14993719310266074
22,0,1313,8757,0.14993719310266074
23,0,1313,8757,0.14993719310266074
24,0,1313,8757,0.14993719310266074
25,0,1313,8757,0.14993719310266074
26,0,1313,8757,0.14993719310266074
27,0,1313,8757,0.14993719310266074
28,0,1313,8757,0.14993719310266074
28,1,927,6184,0.14990297542043984
29,0,568,3788,0.14994720168954592
29,1,1086,7246,0.14987579354126415
30,0,1313,8757,0.14993719310266074
30,1,1086,7246,0.14987579354126415
31,0,1313,8757,0.14993719310266074
31,1,1086,7245,0.14989648033126293
32,0,1313,8757,0.14993719310266074
33,0,1313,8757,0.14993719310266074
34,0,1313,8757,0.14993719310266074
35,0,1313,8757,0.14993719310266074
36,0,1313,8757,0.14993719310266074
37,0,1313,8757,0.14993719310266074
38,0,1313,8757,0.14993719310266074
39,0,1313,8757,0.14993719310266074
40,0,1260,8401,0.14998214498274015
