unit,last_cycle,true_rul,watch_cycle,alert_cycle,failure_cycle,watch_lead,alert_lead,has_watch,has_alert,alert_quality
1,230,22,86.0,119.0,252,166.0,133.0,True,True,good
2,153,39,,78.0,192,,114.0,False,True,good
3,141,107,60.0,62.0,248,188.0,186.0,True,True,good
4,208,75,78.0,83.0,283,205.0,200.0,True,True,very_early
5,51,149,38.0,46.0,200,162.0,154.0,True,True,good
6,146,78,,58.0,224,,166.0,False,True,good
7,54,94,40.0,49.0,148,108.0,99.0,True,True,usable
8,248,14,60.0,122.0,262,202.0,140.0,True,True,good
9,284,99,68.0,112.0,383,315.0,271.0,True,True,very_early
10,23,162,,,185,,,False,False,miss
11,82,143,,58.0,225,,167.0,False,True,good
12,270,7,60.0,62.0,277,217.0,215.0,True,True,very_early
13,227,71,,58.0,298,,240.0,False,True,very_early
14,102,105,,60.0,207,,147.0,False,True,good
15,168,12,,78.0,180,,102.0,False,True,good
16,240,160,,58.0,400,,342.0,False,True,very_early
17,334,162,,153.0,496,,343.0,False,True,very_early
18,247,104,60.0,67.0,351,291.0,284.0,True,True,very_early
19,24,194,,24.0,218,,194.0,False,True,good
20,115,82,,58.0,197,,139.0,False,True,good
21,202,91,90.0,119.0,293,203.0,174.0,True,True,good
22,158,11,69.0,131.0,169,100.0,38.0,True,True,usable
23,162,26,,58.0,188,,130.0,False,True,good
24,174,142,87.0,102.0,316,229.0,214.0,True,True,very_early
25,486,39,73.0,119.0,525,452.0,406.0,True,True,very_early
26,90,92,63.0,79.0,182,119.0,103.0,True,True,good
27,144,76,60.0,69.0,220,160.0,151.0,True,True,good
28,20,124,,,144,,,False,False,miss
29,216,64,,85.0,280,,195.0,False,True,good
30,229,118,86.0,96.0,347,261.0,251.0,True,True,very_early
31,134,6,,58.0,140,,82.0,False,True,usable
32,260,22,79.0,80.0,282,203.0,202.0,True,True,very_early
33,107,147,69.0,74.0,254,185.0,180.0,True,True,good
34,361,126,,58.0,487,,429.0,False,True,very_early
35,278,36,90.0,200.0,314,224.0,114.0,True,True,good
36,159,73,60.0,78.0,232,172.0,154.0,True,True,good
37,345,89,60.0,108.0,434,374.0,326.0,True,True,very_early
38,125,11,60.0,62.0,136,76.0,74.0,True,True,usable
39,214,151,,58.0,365,,307.0,False,True,very_early
40,266,10,102.0,171.0,276,174.0,105.0,True,True,good
41,414,97,216.0,279.0,511,295.0,232.0,True,True,very_early
42,200,30,,62.0,230,,168.0,False,True,good
43,120,42,64.0,82.0,162,98.0,80.0,True,True,usable
44,406,60,,109.0,466,,357.0,False,True,very_early
45,78,85,56.0,67.0,163,107.0,96.0,True,True,usable
46,37,134,29.0,32.0,171,142.0,139.0,True,True,good
47,224,34,61.0,65.0,258,197.0,193.0,True,True,good
48,214,45,,113.0,259,,146.0,False,True,good
49,273,24,,66.0,297,,231.0,False,True,very_early
50,206,86,60.0,131.0,292,232.0,161.0,True,True,good
51,137,119,61.0,79.0,256,195.0,177.0,True,True,good
52,58,151,43.0,52.0,209,166.0,157.0,True,True,good
53,67,142,48.0,58.0,209,161.0,151.0,True,True,good
54,81,176,,58.0,257,,199.0,False,True,good
55,103,157,74.0,84.0,260,186.0,176.0,True,True,good
56,180,67,,59.0,247,,188.0,False,True,good
57,121,97,60.0,61.0,218,158.0,157.0,True,True,good
58,185,8,,58.0,193,,135.0,False,True,good
59,37,154,29.0,32.0,191,162.0,159.0,True,True,good
60,135,139,96.0,116.0,274,178.0,158.0,True,True,good
61,396,51,69.0,131.0,447,378.0,316.0,True,True,very_early
62,240,33,90.0,166.0,273,183.0,107.0,True,True,good
63,158,184,60.0,116.0,342,282.0,226.0,True,True,very_early
64,251,46,,58.0,297,,239.0,False,True,very_early
65,186,12,82.0,167.0,198,116.0,31.0,True,True,usable
66,97,133,60.0,83.0,230,170.0,147.0,True,True,good
67,150,46,,60.0,196,,136.0,False,True,good
68,241,46,,58.0,287,,229.0,False,True,very_early
69,162,12,,58.0,174,,116.0,False,True,good
70,190,33,60.0,86.0,223,163.0,137.0,True,True,good
71,292,15,61.0,65.0,307,246.0,242.0,True,True,very_early
72,118,176,60.0,99.0,294,234.0,195.0,True,True,good
73,149,23,73.0,75.0,172,99.0,97.0,True,True,usable
74,223,89,81.0,83.0,312,231.0,229.0,True,True,very_early
75,203,124,60.0,64.0,327,267.0,263.0,True,True,very_early
76,48,163,36.0,43.0,211,175.0,168.0,True,True,good
77,108,25,66.0,67.0,133,67.0,66.0,True,True,usable
78,106,74,64.0,81.0,180,116.0,99.0,True,True,usable
79,184,78,,60.0,262,,202.0,False,True,very_early
80,112,114,,58.0,226,,168.0,False,True,good
81,60,96,44.0,54.0,156,112.0,102.0,True,True,good
82,146,10,76.0,112.0,156,80.0,44.0,True,True,usable
83,274,172,76.0,78.0,446,370.0,368.0,True,True,very_early
84,88,166,60.0,79.0,254,194.0,175.0,True,True,good
85,174,115,,78.0,289,,211.0,False,True,very_early
