unit,last_cycle,first_watch_cycle,first_alert_cycle,cycles_remaining_at_watch,cycles_remaining_at_alert,had_watch,had_alert
1,230,26.0,27.0,204.0,203.0,True,True
2,153,26.0,,127.0,,True,False
3,141,26.0,,115.0,,True,False
4,208,26.0,81.0,182.0,127.0,True,True
5,51,26.0,,25.0,,True,False
6,146,26.0,39.0,120.0,107.0,True,True
7,54,26.0,,28.0,,True,False
8,248,26.0,59.0,222.0,189.0,True,True
9,284,26.0,122.0,258.0,162.0,True,True
10,23,,,,,False,False
11,82,26.0,48.0,56.0,34.0,True,True
12,270,26.0,63.0,244.0,207.0,True,True
13,227,26.0,,201.0,,True,False
14,102,26.0,,76.0,,True,False
15,168,26.0,41.0,142.0,127.0,True,True
16,240,28.0,25.0,212.0,215.0,True,True
17,334,26.0,57.0,308.0,277.0,True,True
18,247,26.0,123.0,221.0,124.0,True,True
19,24,,,,,False,False
20,115,26.0,61.0,89.0,54.0,True,True
21,202,26.0,87.0,176.0,115.0,True,True
22,158,26.0,67.0,132.0,91.0,True,True
23,162,26.0,51.0,136.0,111.0,True,True
24,174,26.0,60.0,148.0,114.0,True,True
25,486,26.0,33.0,460.0,453.0,True,True
26,90,26.0,,64.0,,True,False
27,144,26.0,87.0,118.0,57.0,True,True
28,20,,,,,False,False
29,216,26.0,49.0,190.0,167.0,True,True
30,229,26.0,32.0,203.0,197.0,True,True
31,134,26.0,46.0,108.0,88.0,True,True
32,260,26.0,56.0,234.0,204.0,True,True
33,107,26.0,56.0,81.0,51.0,True,True
34,361,26.0,51.0,335.0,310.0,True,True
35,278,26.0,96.0,252.0,182.0,True,True
36,159,26.0,84.0,133.0,75.0,True,True
37,345,26.0,35.0,319.0,310.0,True,True
38,125,26.0,,99.0,,True,False
39,214,26.0,,188.0,,True,False
40,266,26.0,61.0,240.0,205.0,True,True
41,414,26.0,51.0,388.0,363.0,True,True
42,200,26.0,32.0,174.0,168.0,True,True
43,120,26.0,,94.0,,True,False
44,406,26.0,155.0,380.0,251.0,True,True
45,78,26.0,,52.0,,True,False
46,37,26.0,,11.0,,True,False
47,224,26.0,28.0,198.0,196.0,True,True
48,214,26.0,173.0,188.0,41.0,True,True
49,273,26.0,113.0,247.0,160.0,True,True
50,206,26.0,67.0,180.0,139.0,True,True
51,137,26.0,77.0,111.0,60.0,True,True
52,58,26.0,48.0,32.0,10.0,True,True
53,67,26.0,67.0,41.0,0.0,True,True
54,81,26.0,,55.0,,True,False
55,103,26.0,42.0,77.0,61.0,True,True
56,180,26.0,39.0,154.0,141.0,True,True
57,121,26.0,61.0,95.0,60.0,True,True
58,185,26.0,,159.0,,True,False
59,37,26.0,,11.0,,True,False
60,135,26.0,114.0,109.0,21.0,True,True
61,396,26.0,67.0,370.0,329.0,True,True
62,240,26.0,43.0,214.0,197.0,True,True
63,158,26.0,50.0,132.0,108.0,True,True
64,251,26.0,184.0,225.0,67.0,True,True
65,186,26.0,,160.0,,True,False
66,97,26.0,49.0,71.0,48.0,True,True
67,150,26.0,42.0,124.0,108.0,True,True
68,241,26.0,103.0,215.0,138.0,True,True
69,162,26.0,,136.0,,True,False
70,190,26.0,76.0,164.0,114.0,True,True
71,292,26.0,25.0,266.0,267.0,True,True
72,118,26.0,89.0,92.0,29.0,True,True
73,149,26.0,38.0,123.0,111.0,True,True
74,223,26.0,78.0,197.0,145.0,True,True
75,203,26.0,60.0,177.0,143.0,True,True
76,48,26.0,46.0,22.0,2.0,True,True
77,108,26.0,,82.0,,True,False
78,106,26.0,,80.0,,True,False
79,184,26.0,59.0,158.0,125.0,True,True
80,112,26.0,105.0,86.0,7.0,True,True
81,60,26.0,38.0,34.0,22.0,True,True
82,146,26.0,60.0,120.0,86.0,True,True
83,274,26.0,71.0,248.0,203.0,True,True
84,88,26.0,37.0,62.0,51.0,True,True
85,174,26.0,,148.0,,True,False
86,254,26.0,29.0,228.0,225.0,True,True
87,167,26.0,30.0,141.0,137.0,True,True
88,140,26.0,58.0,114.0,82.0,True,True
89,285,26.0,281.0,259.0,4.0,True,True
90,118,26.0,,92.0,,True,False
91,144,26.0,41.0,118.0,103.0,True,True
92,116,26.0,51.0,90.0,65.0,True,True
93,200,26.0,52.0,174.0,148.0,True,True
94,105,26.0,61.0,79.0,44.0,True,True
95,110,26.0,71.0,84.0,39.0,True,True
96,123,26.0,50.0,97.0,73.0,True,True
97,51,26.0,,25.0,,True,False
98,82,26.0,67.0,56.0,15.0,True,True
99,237,26.0,149.0,211.0,88.0,True,True
100,196,26.0,109.0,170.0,87.0,True,True
101,166,26.0,,140.0,,True,False
102,443,26.0,44.0,417.0,399.0,True,True
103,145,26.0,32.0,119.0,113.0,True,True
104,65,26.0,,39.0,,True,False
105,351,26.0,58.0,325.0,293.0,True,True
106,148,26.0,44.0,122.0,104.0,True,True
107,121,26.0,40.0,95.0,81.0,True,True
108,145,26.0,53.0,119.0,92.0,True,True
109,66,26.0,,40.0,,True,False
110,348,27.0,26.0,321.0,322.0,True,True
111,342,26.0,59.0,316.0,283.0,True,True
112,88,26.0,62.0,62.0,26.0,True,True
113,132,26.0,104.0,106.0,28.0,True,True
