unit,cycle,watch_cycle,alert_cycle,true_rul,failure_cycle,watch_lead,alert_lead,has_watch,has_alert,alert_quality
1,230,26.0,27.0,22,252,226.0,225.0,True,True,very_early
2,153,26.0,,39,192,166.0,,True,False,miss
3,141,26.0,,107,248,222.0,,True,False,miss
4,208,26.0,81.0,75,283,257.0,202.0,True,True,very_early
5,51,26.0,,149,200,174.0,,True,False,miss
6,146,26.0,39.0,78,224,198.0,185.0,True,True,good
7,54,26.0,,94,148,122.0,,True,False,miss
8,248,26.0,59.0,14,262,236.0,203.0,True,True,very_early
9,284,26.0,122.0,99,383,357.0,261.0,True,True,very_early
10,23,,,162,185,,,False,False,miss
11,82,26.0,48.0,143,225,199.0,177.0,True,True,good
12,270,26.0,63.0,7,277,251.0,214.0,True,True,very_early
13,227,26.0,,71,298,272.0,,True,False,miss
14,102,26.0,,105,207,181.0,,True,False,miss
15,168,26.0,41.0,12,180,154.0,139.0,True,True,good
16,240,28.0,25.0,160,400,372.0,375.0,True,True,very_early
17,334,26.0,57.0,162,496,470.0,439.0,True,True,very_early
18,247,26.0,123.0,104,351,325.0,228.0,True,True,very_early
19,24,,,194,218,,,False,False,miss
20,115,26.0,61.0,82,197,171.0,136.0,True,True,good
21,202,26.0,87.0,91,293,267.0,206.0,True,True,very_early
22,158,26.0,67.0,11,169,143.0,102.0,True,True,good
23,162,26.0,51.0,26,188,162.0,137.0,True,True,good
24,174,26.0,60.0,142,316,290.0,256.0,True,True,very_early
25,486,26.0,33.0,39,525,499.0,492.0,True,True,very_early
26,90,26.0,,92,182,156.0,,True,False,miss
27,144,26.0,87.0,76,220,194.0,133.0,True,True,good
28,20,,,124,144,,,False,False,miss
29,216,26.0,49.0,64,280,254.0,231.0,True,True,very_early
30,229,26.0,32.0,118,347,321.0,315.0,True,True,very_early
31,134,26.0,46.0,6,140,114.0,94.0,True,True,usable
32,260,26.0,56.0,22,282,256.0,226.0,True,True,very_early
33,107,26.0,56.0,147,254,228.0,198.0,True,True,good
34,361,26.0,51.0,126,487,461.0,436.0,True,True,very_early
35,278,26.0,96.0,36,314,288.0,218.0,True,True,very_early
36,159,26.0,84.0,73,232,206.0,148.0,True,True,good
37,345,26.0,35.0,89,434,408.0,399.0,True,True,very_early
38,125,26.0,,11,136,110.0,,True,False,miss
39,214,26.0,,151,365,339.0,,True,False,miss
40,266,26.0,61.0,10,276,250.0,215.0,True,True,very_early
41,414,26.0,51.0,97,511,485.0,460.0,True,True,very_early
42,200,26.0,32.0,30,230,204.0,198.0,True,True,good
43,120,26.0,,42,162,136.0,,True,False,miss
44,406,26.0,155.0,60,466,440.0,311.0,True,True,very_early
45,78,26.0,,85,163,137.0,,True,False,miss
46,37,26.0,,134,171,145.0,,True,False,miss
47,224,26.0,28.0,34,258,232.0,230.0,True,True,very_early
48,214,26.0,173.0,45,259,233.0,86.0,True,True,usable
49,273,26.0,113.0,24,297,271.0,184.0,True,True,good
50,206,26.0,67.0,86,292,266.0,225.0,True,True,very_early
51,137,26.0,77.0,119,256,230.0,179.0,True,True,good
52,58,26.0,48.0,151,209,183.0,161.0,True,True,good
53,67,26.0,67.0,142,209,183.0,142.0,True,True,good
54,81,26.0,,176,257,231.0,,True,False,miss
55,103,26.0,42.0,157,260,234.0,218.0,True,True,very_early
56,180,26.0,39.0,67,247,221.0,208.0,True,True,very_early
57,121,26.0,61.0,97,218,192.0,157.0,True,True,good
58,185,26.0,,8,193,167.0,,True,False,miss
59,37,26.0,,154,191,165.0,,True,False,miss
60,135,26.0,114.0,139,274,248.0,160.0,True,True,good
61,396,26.0,67.0,51,447,421.0,380.0,True,True,very_early
62,240,26.0,43.0,33,273,247.0,230.0,True,True,very_early
63,158,26.0,50.0,184,342,316.0,292.0,True,True,very_early
64,251,26.0,184.0,46,297,271.0,113.0,True,True,good
65,186,26.0,,12,198,172.0,,True,False,miss
66,97,26.0,49.0,133,230,204.0,181.0,True,True,good
67,150,26.0,42.0,46,196,170.0,154.0,True,True,good
68,241,26.0,103.0,46,287,261.0,184.0,True,True,good
69,162,26.0,,12,174,148.0,,True,False,miss
70,190,26.0,76.0,33,223,197.0,147.0,True,True,good
71,292,26.0,25.0,15,307,281.0,282.0,True,True,very_early
72,118,26.0,89.0,176,294,268.0,205.0,True,True,very_early
73,149,26.0,38.0,23,172,146.0,134.0,True,True,good
74,223,26.0,78.0,89,312,286.0,234.0,True,True,very_early
75,203,26.0,60.0,124,327,301.0,267.0,True,True,very_early
76,48,26.0,46.0,163,211,185.0,165.0,True,True,good
77,108,26.0,,25,133,107.0,,True,False,miss
78,106,26.0,,74,180,154.0,,True,False,miss
79,184,26.0,59.0,78,262,236.0,203.0,True,True,very_early
80,112,26.0,105.0,114,226,200.0,121.0,True,True,good
