file_index,state,drift
1,STABLE,0.0
2,STABLE,0.0
3,STABLE,0.0
4,STABLE,0.0
5,STABLE,0.0
6,STABLE,0.0
7,STABLE,0.0
8,STABLE,0.0
9,STABLE,0.0
10,STABLE,0.0
11,STABLE,0.0
12,STABLE,0.0
13,STABLE,0.0
14,STABLE,0.0
15,STABLE,0.0
16,STABLE,0.0
17,STABLE,0.0
18,STABLE,0.0
19,STABLE,0.0
20,STABLE,0.0
21,STABLE,0.0
22,STABLE,0.0
23,STABLE,0.0
24,STABLE,1.4988
25,STABLE,3.2878
26,WATCH,4.0351
27,WATCH,2.0938
28,WATCH,1.8403
29,WATCH,1.3194
30,WATCH,1.3557
31,WATCH,1.7753
32,WATCH,2.2708
33,WATCH,2.2267
34,WATCH,2.1583
35,WATCH,2.8992
36,WATCH,2.6684
37,WATCH,2.3098
38,WATCH,2.1811
39,WATCH,2.5701
40,WATCH,2.4399
41,WATCH,2.504
42,WATCH,1.9453
43,WATCH,2.5943
44,WATCH,3.1589
45,ALERT,3.7037
46,WATCH,2.9349
47,WATCH,2.5218
48,WATCH,2.9047
49,WATCH,2.7943
50,WATCH,2.7748
51,WATCH,2.4597
52,WATCH,3.1184
53,WATCH,3.3847
54,ALERT,5.7619
55,WATCH,2.8375
56,WATCH,2.8398
57,WATCH,2.8406
58,WATCH,3.2507
59,WATCH,2.0703
60,WATCH,2.8408
61,WATCH,3.4744
62,WATCH,2.3499
63,WATCH,2.4474
64,WATCH,2.5923
65,WATCH,2.3685
66,WATCH,2.7906
67,WATCH,2.6707
68,WATCH,3.7046
69,WATCH,2.5159
70,WATCH,3.739
71,WATCH,3.9652
72,WATCH,2.9861
73,WATCH,3.9999
74,WATCH,4.5165
75,WATCH,5.3198
76,WATCH,4.7974
77,WATCH,5.0613
78,WATCH,2.9368
79,WATCH,3.4342
80,WATCH,3.7708
81,WATCH,3.0769
82,WATCH,2.7649
83,WATCH,2.836
84,WATCH,3.3388
85,WATCH,3.5697
86,WATCH,3.6699
87,WATCH,7.4705
88,WATCH,5.0106
89,WATCH,5.8191
90,WATCH,3.1889
91,WATCH,2.8888
92,WATCH,7.3826
93,WATCH,5.0653
94,WATCH,3.6939
95,WATCH,4.4985
96,WATCH,3.2234
97,WATCH,4.5191
98,WATCH,4.9492
99,WATCH,4.6524
100,WATCH,3.9572
101,WATCH,2.8289
102,WATCH,4.0204
103,WATCH,3.618
104,WATCH,4.0365
105,WATCH,3.9553
106,WATCH,3.6973
107,WATCH,3.4022
108,WATCH,3.3209
