file_index,file_name,state,drift_alert,structural_drift_score,relational_stability_score,system_health,lead_time_hours,lead_time_confidence,drift_velocity,latest_instability,confidence_score,interpreted_state,regime_name,engine_ready
1,2004.02.12.10.32.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
2,2004.02.12.10.42.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
3,2004.02.12.10.52.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
4,2004.02.12.11.02.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
5,2004.02.12.11.12.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
6,2004.02.12.11.22.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
7,2004.02.12.11.32.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
8,2004.02.12.11.42.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
9,2004.02.12.11.52.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
10,2004.02.12.12.02.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
11,2004.02.12.12.12.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
12,2004.02.12.12.22.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
13,2004.02.12.12.32.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
14,2004.02.12.12.42.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
15,2004.02.12.12.52.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
16,2004.02.12.13.02.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
17,2004.02.12.13.12.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
18,2004.02.12.13.22.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
19,2004.02.12.13.32.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
20,2004.02.12.13.42.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
21,2004.02.12.13.52.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
22,2004.02.12.14.02.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
23,2004.02.12.14.12.39,STABLE,False,0.0,1.0,100,,0.0,0.0,0.0,0.25,STABLE_FLOW,NOMINAL,False
24,2004.02.12.14.22.39,STABLE,False,1.4988,1.0,93,,0.99,0.0,0.3331,1.0,STABLE_FLOW,NOMINAL,True
25,2004.02.12.14.32.39,STABLE,False,3.2878,1.0,61,0.7,0.99,1.789,0.7306,1.0,STABLE_FLOW,NOMINAL,True
26,2004.02.12.14.42.39,WATCH,False,4.0351,1.0,47,0.6,0.99,0.7473,0.8967,1.0,EMERGING_TRANSITION,DEGRADING,True
27,2004.02.12.14.52.39,WATCH,False,2.0938,1.0,82,,0.99,-1.9413,0.4653,1.0,EMERGING_TRANSITION,DEGRADING,True
28,2004.02.12.15.02.39,WATCH,False,1.8403,1.0,87,,0.99,-0.2535,0.409,1.0,EMERGING_TRANSITION,DEGRADING,True
29,2004.02.12.15.12.39,WATCH,False,1.3194,1.0,96,,0.99,-0.5209,0.2932,1.0,EMERGING_TRANSITION,DEGRADING,True
30,2004.02.12.15.22.39,WATCH,False,1.3557,1.0,96,86.6,0.99,0.0363,0.3013,1.0,EMERGING_TRANSITION,DEGRADING,True
31,2004.02.12.15.32.39,WATCH,False,1.7753,1.0,88,6.5,0.99,0.4196,0.3945,1.0,EMERGING_TRANSITION,DEGRADING,True
