timestamp,site_id,facility_id,building_id,room_id,zone_id,plant_id,asset_id,asset_type,subsystem_id,crop_type,strain_or_crop_type,growth_stage,batch_id,telemetry_source,zone_temperature,zone_relative_humidity,vapor_pressure_deficit,co2_ppm,supply_air_temperature,discharge_pressure,load_percent,filter_differential_pressure,fixture_power_kw,room_power_kw,transpiration_proxy,stress_index,growth_rate_proxy,image_health_score,nutrient_ec,drain_ec,irrigation_pressure,irrigation_flow_rate,reservoir_temperature,ppfd
2026-04-03T08:00:00Z,site-midwest,fac-chi-1,bldg-a,flower-1,flower-1-east,flower-1-east-cluster-a,ahu-fl1,ahu,hvac-fl1,cannabis,flower,flower,batch-101,demo-scada,76.0,58.0,1.1,980,57.0,212.0,61.0,0.8,28.0,71.0,0.49,0.21,0.62,0.84,2.1,2.1,,,,
2026-04-03T08:15:00Z,site-midwest,fac-chi-1,bldg-a,flower-1,flower-1-west,flower-1-west-cluster-b,ahu-fl1,ahu,hvac-fl1,cannabis,flower,flower,batch-101,demo-scada,76.2,57.8,1.11,985,56.9,213.0,60.0,0.82,28.0,70.0,0.50,0.22,0.63,0.83,2.1,2.1,,,,
2026-04-03T08:30:00Z,site-midwest,fac-chi-1,bldg-a,flower-2,flower-2-north,flower-2-north-cluster-a,ahu-fl2,ahu,dehum-fl2,cannabis,flower,flower,batch-202,demo-bms,77.4,63.1,0.98,1005,58.4,220.0,46.0,1.15,29.0,77.0,0.57,0.33,0.57,0.75,2.2,2.3,,,,
2026-04-03T08:45:00Z,site-midwest,fac-chi-1,bldg-a,flower-2,flower-2-south,flower-2-south-cluster-b,ahu-fl2,ahu,dehum-fl2,cannabis,flower,flower,batch-202,demo-bms,78.1,65.0,0.92,1010,59.1,224.0,41.0,1.45,29.0,80.0,0.63,0.38,0.49,0.68,2.2,2.4,,,,
2026-04-03T09:00:00Z,site-midwest,fac-chi-1,bldg-a,flower-2,flower-2-south,flower-2-south-cluster-b,ahu-fl2,ahu,dehum-fl2,cannabis,flower,flower,batch-202,demo-bms,79.0,66.8,0.88,1015,60.0,229.0,39.0,1.72,29.0,83.0,0.70,0.44,0.42,0.59,2.2,2.5,,,,
2026-04-03T09:15:00Z,site-midwest,fac-chi-1,bldg-a,veg-1,veg-1-feed,veg-1-cluster-a,fert-skid-1,fertigation,feed-veg-1,cannabis,veg,vegetative,batch-303,demo-fertigation,75.0,61.0,0.95,,,,,41.0,0.42,0.19,,,1.8,1.8,29.0,12.0,66.0,
2026-04-03T09:30:00Z,site-midwest,fac-chi-1,bldg-a,veg-1,veg-1-feed,veg-1-cluster-a,fert-skid-1,fertigation,feed-veg-1,cannabis,veg,vegetative,batch-303,demo-fertigation,75.5,61.5,0.93,,,,,43.0,0.58,0.35,,,1.8,2.5,24.5,10.9,68.0,
2026-04-03T09:45:00Z,site-west,fac-den-1,bldg-west,flower-7,flower-7-east,flower-7-east-cluster-a,ahu-den-7,ahu,hvac-den-7,cannabis,flower,flower,batch-401,demo-scada,75.8,57.2,1.15,970,56.7,210.0,58.0,0.78,27.0,69.0,0.51,0.20,0.64,0.86,2.0,2.0,,,,
2026-04-03T10:00:00Z,site-west,fac-den-1,bldg-west,flower-7,flower-7-west,flower-7-west-cluster-b,ahu-den-7,ahu,hvac-den-7,cannabis,flower,flower,batch-401,demo-scada,75.9,57.4,1.14,972,56.8,211.0,59.0,0.79,27.0,69.5,0.52,0.20,0.65,0.85,2.0,2.0,,,,
2026-04-03T10:15:00Z,site-west,fac-den-1,bldg-west,veg-4,veg-4-north,veg-4-north-cluster-a,light-den-veg4,lighting,lighting-veg4,cannabis,veg,vegetative,batch-402,demo-lighting,76.8,60.5,1.01,,,,34.0,96.0,0.45,0.28,0.58,0.80,,,,,840.0
2026-04-03T10:30:00Z,site-west,fac-den-1,bldg-west,veg-4,veg-4-south,veg-4-south-cluster-b,light-den-veg4,lighting,lighting-veg4,cannabis,veg,vegetative,batch-402,demo-lighting,77.4,61.2,0.97,,,,34.0,103.0,0.41,0.35,0.52,0.73,,,,,845.0
