unit,cycles,baseline_peak,operator_drift_peak,spectral_radius_peak,degradation_start,ema_warning,lead_vs_degradation,lead_vs_baseline,false_positive,warning_before_degradation,warning_before_baseline_peak,max_ema_before_degradation,healthy_reference_n,healthy_reference_filtered_n
1,321,238,84,136,256,69.0,187.0,169.0,False,True,True,10.889904280512336,64,34
2,299,288,156,28,239,159.0,80.0,129.0,False,True,True,15.751138668285265,59,30
3,307,169,165,178,245,68.0,177.0,101.0,False,True,True,16.228820878096503,61,32
4,274,195,42,162,219,,,,False,False,False,17.674035933022118,54,26
5,193,165,168,137,154,44.0,110.0,121.0,False,True,True,5.983488948876326,38,13
6,331,178,287,93,264,291.0,-27.0,-113.0,False,False,False,10.164059233617738,66,36
7,221,75,184,116,176,94.0,82.0,-19.0,False,True,False,5.7024601472120215,44,18
8,230,109,77,98,184,55.0,129.0,54.0,False,True,True,5.887316179953675,46,20
9,334,171,53,149,267,,,,False,False,False,12.512586038103187,66,36
10,354,349,122,243,283,123.0,160.0,226.0,False,True,True,19.872600527301948,70,39
11,301,107,97,111,240,,,,False,False,False,6.33765230011501,60,31
12,272,152,30,167,217,,,,False,False,False,10.415084570524778,54,26
13,256,129,61,125,204,,,,False,False,False,7.9895708073139176,51,24
14,253,56,84,178,202,88.0,114.0,-32.0,False,True,False,17.33912848043411,50,23
15,224,52,208,33,179,48.0,131.0,4.0,False,True,True,6.414084730327609,44,18
16,184,158,26,164,147,,,,False,False,False,8.62172453591215,36,12
17,151,70,60,150,120,38.0,82.0,32.0,False,True,True,8.7239258840303,30,7
18,343,294,170,218,274,136.0,138.0,158.0,False,True,True,14.063807106217016,68,37
19,210,75,114,130,168,137.0,31.0,-62.0,False,True,False,5.9135053333537995,42,16
20,245,214,230,48,196,,,,False,False,False,7.344584107417774,49,22
21,227,153,173,69,181,,,,False,False,False,12.82353995512166,45,19
22,211,100,159,175,168,47.0,121.0,53.0,False,True,True,13.975886657899254,42,16
23,280,198,71,199,224,73.0,151.0,125.0,False,True,True,10.537643659275723,56,28
24,186,176,54,146,148,58.0,90.0,118.0,False,True,True,7.6213768665323,37,12
25,150,30,83,126,120,35.0,85.0,-5.0,False,True,False,7.356016017407857,30,7
26,297,204,178,181,237,177.0,60.0,27.0,False,True,True,9.886466178877399,59,30
27,163,34,69,157,130,72.0,58.0,-38.0,False,True,False,15.265405443820601,32,8
28,202,143,79,79,161,80.0,81.0,63.0,False,True,True,10.109678557005573,40,15
29,247,85,111,114,197,115.0,82.0,-30.0,False,True,False,8.647826335287608,49,22
30,297,268,207,97,237,165.0,72.0,103.0,False,True,True,11.803188279721741,59,30
31,263,27,84,88,210,68.0,142.0,-41.0,False,True,False,10.892343726203626,52,24
32,219,115,94,183,175,76.0,99.0,39.0,False,True,True,25.543881430463227,43,17
33,201,140,44,46,160,44.0,116.0,96.0,False,True,True,17.881689148176832,40,15
34,276,36,201,200,220,61.0,159.0,-25.0,False,True,False,18.290175881394873,55,27
35,221,93,90,147,176,,,,False,False,False,5.680515491666992,44,18
36,143,71,142,127,114,32.0,82.0,39.0,False,True,True,5.783827674541464,28,5
37,388,149,329,342,310,286.0,24.0,-137.0,False,True,False,6.390450619937534,77,44
38,177,35,91,107,141,41.0,100.0,-6.0,False,True,False,11.088811223515265,35,11
39,202,96,40,132,161,,,,False,False,False,5.139989489395004,40,15
40,206,55,47,113,164,51.0,113.0,4.0,False,True,True,6.063620597883485,41,16
41,279,21,266,242,223,243.0,-20.0,-222.0,False,False,False,4.550834995410615,55,27
42,280,264,47,130,224,,,,False,False,False,15.396369278038776,56,28
43,223,222,114,59,178,56.0,122.0,166.0,False,True,True,7.834425530900411,44,18
44,203,46,112,40,162,62.0,100.0,-16.0,False,True,False,10.34200545720462,40,15
45,177,43,58,58,141,54.0,87.0,-11.0,False,True,False,8.290990066487222,35,11
