unit_id,n_cycles,rul,true_failure_cycle,warning_cycle,true_lead_time,false_positive,covered,first_structural_signal,first_acceleration,first_relational,first_regime_instability
1,321,22,64,48,16,False,True,2,2,15,
2,299,39,81,44,37,False,True,2,12,15,
3,307,107,149,46,103,False,True,1,12,15,
4,274,75,117,41,76,False,True,1,9,15,
5,193,149,191,28,163,False,True,2,6,15,
6,331,78,120,49,71,False,True,1,9,15,
7,221,94,136,33,103,False,True,2,17,15,
8,230,14,24,34,,False,True,1,19,15,
9,334,99,141,50,91,False,True,1,15,15,
10,354,162,204,53,151,False,True,1,13,15,
11,301,143,185,45,140,False,True,3,21,15,
12,272,7,7,40,,False,True,1,16,15,
13,256,71,81,38,43,False,True,1,17,15,
14,253,105,147,37,110,False,True,102,2,15,
15,224,12,47,33,14,False,True,2,12,15,
16,184,160,202,27,175,False,True,2,13,15,
17,151,162,197,22,175,False,True,1,11,15,
18,343,104,104,51,53,False,True,1,20,15,
19,210,194,236,31,205,False,True,2,11,15,
20,245,82,123,36,87,False,True,1,10,15,
21,227,91,133,34,99,False,True,3,2,15,
22,211,11,53,31,22,False,True,2,10,15,
23,280,26,45,42,3,False,True,2,2,15,
24,186,142,167,27,140,False,True,1,9,15,
25,150,39,64,22,42,False,True,1,10,15,
26,297,92,134,44,90,False,True,2,14,15,
27,163,76,86,24,62,False,True,1,17,15,
28,202,124,166,30,136,False,True,1,13,15,
29,247,64,64,37,27,False,True,7,36,15,
30,297,118,159,44,115,False,True,2,10,15,
31,263,6,15,39,,False,True,2,10,15,
32,219,22,32,32,0,False,True,2,2,15,
33,201,147,189,30,159,False,True,1,6,15,
34,276,126,168,41,127,False,True,2,16,15,
35,221,36,78,33,45,False,True,2,13,15,
36,143,73,82,21,61,False,True,2,11,15,
37,388,89,130,58,72,False,True,2,19,15,
38,177,11,31,26,5,False,True,2,18,15,
39,202,151,193,30,163,False,True,1,23,15,
40,206,10,52,30,22,False,True,1,11,15,
41,279,97,139,41,98,False,True,3,19,15,
42,280,30,30,42,,False,True,1,10,15,
43,223,42,42,33,9,False,True,2,12,15,
44,203,60,80,30,50,False,True,2,26,15,
45,177,85,127,26,101,False,True,2,2,15,
46,321,134,176,48,128,False,True,1,16,15,
47,375,34,34,56,,False,True,2,20,15,
48,322,45,54,48,6,False,True,2,11,15,
49,446,24,24,66,,False,True,1,16,15,
50,172,86,128,25,103,False,True,2,2,15,
51,285,119,161,42,119,False,True,3,2,15,
52,357,151,192,53,139,False,True,2,12,15,
53,304,142,177,45,132,False,True,1,13,15,
54,197,176,218,29,189,False,True,1,15,15,
55,344,157,198,51,147,False,True,2,2,15,
56,347,67,102,52,50,False,True,2,13,15,
57,193,97,139,28,111,False,True,2,2,15,
58,281,8,50,42,8,False,True,2,2,15,
59,177,154,174,26,148,False,True,1,6,15,
60,218,139,181,32,149,False,True,1,13,15,
61,244,51,71,36,35,False,True,2,2,15,
62,297,33,74,44,30,False,True,1,11,15,
63,170,184,226,25,201,False,True,2,21,15,
64,184,46,88,27,61,False,True,2,2,15,
65,351,12,54,52,2,False,True,1,25,15,
66,175,133,175,26,149,False,True,1,10,15,
67,167,46,88,25,63,False,True,1,11,15,
68,163,46,88,24,64,False,True,1,9,15,
69,226,12,47,33,14,False,True,2,2,15,
70,185,33,33,27,6,False,True,1,13,15,
71,312,15,50,46,4,False,True,2,21,15,
72,308,176,186,46,140,False,True,1,14,15,
73,181,23,65,27,38,False,True,1,19,15,
74,244,89,130,36,94,False,True,1,14,15,
75,230,124,166,34,132,False,True,1,10,15,
76,152,163,188,22,166,False,True,1,8,15,
77,148,25,35,22,13,False,True,2,10,15,
78,250,74,115,37,78,False,True,2,2,15,
79,218,78,119,32,87,False,True,2,15,15,
80,305,114,114,45,69,False,True,2,2,15,
81,187,96,138,28,110,False,True,3,2,15,
82,197,10,51,29,22,False,True,2,11,15,
83,184,172,197,27,170,False,True,2,16,15,
84,159,166,208,23,185,False,True,1,16,15,
85,277,115,125,41,84,False,True,1,10,15,
86,232,70,112,34,78,False,True,1,15,15,
87,259,94,129,38,91,False,True,1,10,15,
88,388,56,56,58,,False,True,6,2,15,
89,168,86,128,25,103,False,True,1,11,15,
90,212,96,138,31,107,False,True,1,6,15,
91,354,50,92,53,39,False,True,2,2,15,
92,191,73,83,28,55,False,True,2,2,15,
93,196,154,154,29,125,False,True,1,6,15,
94,249,129,170,37,133,False,True,1,12,15,
95,239,171,213,35,178,False,True,1,10,15,
96,270,71,105,40,65,False,True,1,9,15,
97,262,105,140,39,101,False,True,1,8,15,
98,245,113,123,36,87,False,True,1,15,15,
99,167,37,72,25,47,False,True,2,26,15,
