"unit_id","n_cycles","warning_cycle","lead_time_cycles","false_positive","n_operating_conditions","primary_operating_condition","operating_conditions_present","mean_raw_drift","mean_ema_drift","max_raw_drift","max_ema_drift","quantum_peak","quantum_mean","quantum_variance","information_peak","information_mean","information_variance","free_energy_peak","free_energy_mean","free_energy_variance","topological_peak","topological_mean","topological_variance","algorithmic_peak","algorithmic_mean","algorithmic_variance","inferred_fault_mode","fault_mode_confidence","dominant_component","lead_time_by_condition","component_by_condition","degradation_trajectory","trajectory_variance"
1,321,152,137,False,2,1,"[np.int64(1), np.int64(2)]",0.33633335183234875,0.33324424859688057,0.7117074831473323,0.6470156610855724,0.434839433447119,0.24011674066702834,0.013173671866577707,1.0,0.32087227414330216,0.2179132578294077,0.9575443086819153,0.289510652349095,0.17832869993369152,0.9717326558420548,0.7981836701368047,0.062452116061511395,0.588776305533905,0.06450580106075042,0.013551439666396442,"HPC_like",0.7860313654229854,"topological","{np.int64(1): 121.0, np.int64(2): 137.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.008877038611080988
2,299,176,94,False,2,1,"[np.int64(1), np.int64(2)]",0.28627889037513216,0.283636824243265,0.7212728474862052,0.5936771438409041,0.41049797452732417,0.22773055537285905,0.009730427931578923,1.0,0.3110367892976589,0.21429290500106263,0.9016606917146084,0.27713028419735636,0.17012677838939774,0.946003330475156,0.5240052078354513,0.1307559778899791,0.602680067001675,0.06173688424070772,0.015810837627518642,"HPC_like",0.7425833611045308,"topological","{np.int64(1): 93.0, np.int64(2): 94.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.008534917031376788
3,307,119,158,False,2,1,"[np.int64(1), np.int64(2)]",0.2993157901162314,0.2965885080505941,0.7265201999052037,0.5976365856874652,0.42287813285228293,0.23510595835853534,0.01093185329959452,1.0,0.31921824104234525,0.21731795562817643,0.9191223697413019,0.28914541536277066,0.17833712397830567,0.9368075194432635,0.5654393957192851,0.11743202692636395,0.6428107229894394,0.06334449917637498,0.017253319638263983,"HPC_like",0.7477403299211094,"topological","{np.int64(1): 158.0, np.int64(2): 157.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.008745217675239836
4,274,"","",False,2,1,"[np.int64(1), np.int64(2)]",0.2789348723372854,0.27632746903673205,0.6884469001625981,0.5454909209012683,0.38604398353470015,0.22395994120125132,0.008592501835128196,1.0,0.3029197080291971,0.21115935851670306,0.9254504426565049,0.26195024865524547,0.1583409908930307,0.9295822735901954,0.5127704659106501,0.1552740200646264,0.6035583941605838,0.06711343351964189,0.01613101541465769,"HPC_like",0.7370049139465138,"quantum","{}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.008526655032363599
5,193,"","",False,2,1,"[np.int64(1), np.int64(2)]",0.275614059704626,0.2726977934596937,0.7367156348249998,0.49478502238803046,0.3749861269123421,0.220486360108154,0.006206161200749863,1.0,0.3160621761658031,0.21616687696313994,0.9118616245987268,0.2749661951537774,0.16401629330052933,0.9532734337132749,0.4590886908205302,0.11194461977636642,0.4980343980343981,0.0659606497689399,0.013931588729153553,"HPC_like",0.7301737163195694,"quantum","{}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.007656646875075461
6,331,83,215,False,2,1,"[np.int64(1), np.int64(2)]",0.28364453306350496,0.2817777596916726,0.7343869907395435,0.6295491232889251,0.3801358666337813,0.22270404845539374,0.006745729301457817,1.0,0.2990936555891239,0.20963664077545838,0.9117861414326128,0.26520531199760994,0.16494393801425233,0.9382785110487006,0.5535223499454258,0.15338470012732006,0.615267175572519,0.05990489738269999,0.014728452909557144,"HPC_like",0.7510546737927312,"quantum","{np.int64(1): 215.0, np.int64(2): 214.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.007397737812967083
7,221,171,28,False,2,1,"[np.int64(1), np.int64(2)]",0.28929550005909344,0.2932689614548565,0.7582130776182849,0.6064577778079485,0.48129966473302077,0.24536094753113225,0.015824746094218824,1.0,0.2850678733031674,0.20380418091357672,0.9432737443664249,0.2659837778906411,0.17744014325389262,0.962157709786038,0.5724960792771363,0.1412886288875132,0.46745182012847986,0.053490800042632826,0.013041581423275052,"HPC_like",0.7415706587743929,"quantum","{np.int64(1): 27.0, np.int64(2): 28.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.0078502209946573
8,230,116,91,False,2,1,"[np.int64(1), np.int64(2)]",0.3282323468360646,0.3307889906724438,0.7960035861194485,0.6367004622789002,0.5144193236483456,0.24968104759140014,0.016795515462758863,1.0,0.3,0.20999999999999994,0.9643293006813889,0.2814576428156272,0.18500746958879022,0.9644519789409977,0.7726422251526114,0.06821614692143636,0.5543822597676873,0.06140170222627408,0.015935339997116042,"HPC_like",0.7751845522450337,"topological","{np.int64(1): 88.0, np.int64(2): 91.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.008524123535447528
9,334,137,164,False,2,1,"[np.int64(1), np.int64(2)]",0.2965810151450546,0.29894414745450515,0.7456476138113574,0.6001247159838862,0.4795552046507826,0.2358199354666535,0.014708895868462791,1.0,0.281437125748503,0.20223026999892427,0.945853974972775,0.2599062270170177,0.1727318649850015,0.9488704784840263,0.6472926977724637,0.15200883212165406,0.630557677616501,0.06400602998659745,0.015092453590588605,"HPC_like",0.7559525028134128,"quantum","{np.int64(1): 155.0, np.int64(2): 164.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.008085945007010053
10,354,250,69,False,2,1,"[np.int64(1), np.int64(2)]",0.30302416164143553,0.3015329764810938,0.7746446736086248,0.557439609514624,0.4396260425064289,0.2288146670330062,0.010067611772577771,1.0,0.2824858757062147,0.2026876057327077,0.9403702445499258,0.25460300038289835,0.1650009422267763,0.9557881513694578,0.7094736648775306,0.10031601426192874,0.6147058823529411,0.06416642796770704,0.014757144422317335,"HPC_like",0.7719886141919311,"topological","{np.int64(1): 64.0, np.int64(2): 69.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.0074360567836545466
11,301,147,124,False,2,1,"[np.int64(1), np.int64(2)]",0.34838670596428045,0.3451488321544519,0.7691902157390909,0.6224280799075872,0.47658254125237953,0.24671290626936684,0.01689912173469866,1.0,0.4219269102990033,0.2439045926645401,0.9607503553062161,0.35462539804637094,0.1795506896463428,0.9723236761375226,0.6139189904850622,0.10563851262503089,0.5832642916321459,0.0587817832668606,0.015450454848946046,"HPC_like",0.772246741997661,"topological","{np.int64(1): 124.0, np.int64(2): 123.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.008841873133460392
12,272,227,18,False,2,1,"[np.int64(1), np.int64(2)]",0.30276645813609265,0.30327337542686383,0.7304306051864903,0.5812506909203004,0.46269043139954535,0.23959925291007836,0.011544395449379071,1.0,0.3235294117647059,0.21885813148788927,0.966799387270786,0.2881583633494336,0.17528647469034703,0.9204497931466293,0.5744295096331087,0.10736288074454085,0.6355932203389831,0.06208230207039702,0.017741250561269566,"HPC_like",0.74852336102292,"topological","{np.int64(2): 18.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.007411699103170799
13,256,191,40,False,2,1,"[np.int64(1), np.int64(2)]",0.3173558395477993,0.3205633868920789,0.7603746196254532,0.6091474295671346,0.5438116666956,0.26176540735898146,0.018485920887298418,1.0,0.28515625,0.2038421630859375,0.9831478922287838,0.271429318551674,0.1849596259528627,0.9880880857482212,0.7145919229793736,0.14443540841689598,0.5489423076923078,0.060625026828640106,0.014767774581117159,"HPC_like",0.7561598818459573,"quantum","{np.int64(1): 20.0, np.int64(2): 40.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.009296728043666934
14,253,119,109,False,2,1,"[np.int64(1), np.int64(2)]",0.33388502576444967,0.32960244752051054,0.8074909209192617,0.6626164328381604,0.5513286341788417,0.26613315217517397,0.018894699707918787,1.0,0.3359683794466403,0.22309362745863864,0.9885289841298566,0.3116896600476042,0.19309354603870552,0.984169323125207,0.6719429436886054,0.1398101940529258,0.6061479346781941,0.0692361168742575,0.017221155477321733,"HPC_like",0.7503356551113454,"quantum","{np.int64(1): 109.0, np.int64(2): 108.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.0088730421377213
15,224,"","",False,2,1,"[np.int64(1), np.int64(2)]",0.32051564453269105,0.3235613318954682,0.7446467590172481,0.5522440118798284,0.41235783768538287,0.23086973239765363,0.009735970976749529,1.0,0.30357142857142855,0.21141581632653056,0.9347071528254374,0.27429336461955717,0.1726622581125936,0.9966063258659644,0.7655336923848518,0.07349577649705796,0.42887931034482757,0.056731408888986624,0.010276267538993581,"HPC_like",0.7880151737405743,"topological","{}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.009083357182591473
16,184,48,118,False,2,1,"[np.int64(1), np.int64(2)]",0.32923578574046586,0.321819316410512,0.7619036002247223,0.583710289780333,0.5535765249466401,0.26939816072050604,0.01845125809569575,1.0,0.30434782608695654,0.2117202268431002,0.993582279310862,0.2853509138250305,0.1883965516973351,0.9849406689953536,0.7276724081724774,0.10602335274227152,0.48629441624365477,0.06108337011697198,0.014072583664828187,"HPC_like",0.7574450622352247,"topological","{np.int64(1): 113.0, np.int64(2): 118.0}","{np.int64(1): 'information', np.int64(2): 'topological'}","stepped",0.00942284026768143
