unit,timesteps,healthy_cutoff,degradation_start,baseline_peak,drift_peak,spectral_radius_peak,ema_warning,lead_vs_degradation,lead_vs_baseline,false_positive,warning_before_degradation,warning_before_baseline_peak
1,321,64,256,238,84,136,83.0,173.0,155.0,False,True,True
2,299,59,239,288,156,28,159.0,80.0,129.0,False,True,True
3,307,61,245,169,165,178,91.0,154.0,78.0,False,True,True
4,274,54,219,195,42,162,,,,False,False,False
5,193,38,154,165,168,137,44.0,110.0,121.0,False,True,True
6,331,66,264,178,287,93,232.0,32.0,-54.0,False,True,False
7,221,44,176,75,184,116,94.0,82.0,-19.0,False,True,False
8,230,46,184,109,77,98,81.0,103.0,28.0,False,True,True
9,334,66,267,171,53,149,,,,False,False,False
10,354,70,283,349,122,243,123.0,160.0,226.0,False,True,True
11,301,60,240,107,97,111,,,,False,False,False
12,272,54,217,152,30,167,,,,False,False,False
13,256,51,204,129,61,125,,,,False,False,False
14,253,50,202,56,84,178,49.0,153.0,7.0,True,True,True
15,224,44,179,52,208,33,48.0,131.0,4.0,False,True,True
16,184,36,147,158,26,164,,,,False,False,False
17,151,30,120,70,60,150,32.0,88.0,38.0,False,True,True
18,343,68,274,294,170,218,135.0,139.0,159.0,False,True,True
19,210,42,168,75,114,130,,,,False,False,False
20,245,49,196,214,230,48,52.0,144.0,162.0,False,True,True
21,227,45,181,153,173,69,177.0,4.0,-24.0,False,True,False
22,211,42,168,100,159,175,47.0,121.0,53.0,False,True,True
23,280,56,224,198,71,199,74.0,150.0,124.0,False,True,True
24,186,37,148,176,54,146,38.0,110.0,138.0,False,True,True
25,150,30,120,30,83,126,31.0,89.0,-1.0,False,True,False
26,297,59,237,204,178,181,177.0,60.0,27.0,False,True,True
27,163,32,130,34,69,157,72.0,58.0,-38.0,False,True,False
28,202,40,161,143,79,79,80.0,81.0,63.0,False,True,True
29,247,49,197,85,111,114,108.0,89.0,-23.0,False,True,False
30,297,59,237,268,207,97,165.0,72.0,103.0,False,True,True
31,263,52,210,27,84,88,68.0,142.0,-41.0,False,True,False
32,219,43,175,115,94,183,93.0,82.0,22.0,False,True,True
33,201,40,160,140,44,46,42.0,118.0,98.0,False,True,True
34,276,55,220,36,201,200,99.0,121.0,-63.0,False,True,False
35,221,44,176,93,90,147,,,,False,False,False
36,143,28,114,71,142,127,29.0,85.0,42.0,False,True,True
37,388,77,310,149,329,342,286.0,24.0,-137.0,False,True,False
38,177,35,141,35,91,107,41.0,100.0,-6.0,False,True,False
39,202,40,161,96,40,132,,,,False,False,False
40,206,41,164,55,47,113,51.0,113.0,4.0,False,True,True
