asset_id,timestamp,cycle,structural_drift_score,composite_instability,trend,phase,risk_level,estimated_rul,operator_message,structural_analysis_available
unit_001,2025-01-01T00:01:00+00:00,1,0.0,0.0,stable,stable,LOW,342,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:02:00+00:00,2,0.0,0.0,stable,stable,LOW,341,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:03:00+00:00,3,0.0,0.0,stable,stable,LOW,340,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:04:00+00:00,4,0.0,0.0,stable,stable,LOW,339,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:05:00+00:00,5,0.0,0.0,stable,stable,LOW,338,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:06:00+00:00,6,0.0,0.0,stable,stable,LOW,337,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:07:00+00:00,7,0.0,0.0,stable,stable,LOW,336,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:08:00+00:00,8,0.0,0.0,stable,stable,LOW,335,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:09:00+00:00,9,0.0,0.0,stable,stable,LOW,334,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:10:00+00:00,10,0.0,0.0,stable,stable,LOW,333,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:11:00+00:00,11,0.0,0.0,stable,stable,LOW,332,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:12:00+00:00,12,0.0,0.0,stable,stable,LOW,331,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:13:00+00:00,13,0.0,0.0,stable,stable,LOW,330,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:14:00+00:00,14,0.0,0.0,stable,stable,LOW,329,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:15:00+00:00,15,0.0,0.0,stable,stable,LOW,328,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:16:00+00:00,16,0.0,0.0,stable,stable,LOW,327,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:17:00+00:00,17,0.0,0.0,stable,stable,LOW,326,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:18:00+00:00,18,0.0,0.0,stable,stable,LOW,325,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:19:00+00:00,19,0.0,0.0,stable,stable,LOW,324,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:20:00+00:00,20,0.0,0.0,stable,stable,LOW,323,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:21:00+00:00,21,0.0,0.0,stable,stable,LOW,322,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:22:00+00:00,22,0.0,0.0,stable,stable,LOW,321,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:23:00+00:00,23,0.0,0.0,stable,stable,LOW,320,System appears stable based on current heuristic interpretation.,False
unit_001,2025-01-01T00:24:00+00:00,24,1.6214,1373.9708,stable,stable,LOW,319,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:25:00+00:00,25,1.033,1501.6953,drift,drift,MEDIUM,318,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T00:26:00+00:00,26,1.64,1360.9046,unstable,unstable,HIGH,317,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:27:00+00:00,27,1.6615,1376.094,unstable,unstable,HIGH,316,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:28:00+00:00,28,2.052,1558.2821,unstable,unstable,HIGH,315,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:29:00+00:00,29,2.3917,1974.2693,unstable,unstable,HIGH,314,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:30:00+00:00,30,2.3918,1975.2313,unstable,unstable,HIGH,313,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:31:00+00:00,31,1.9697,1665.5687,unstable,unstable,HIGH,312,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:32:00+00:00,32,0.8002,1202.8717,unstable,unstable,HIGH,311,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T00:33:00+00:00,33,0.7818,1201.6726,unstable,unstable,HIGH,310,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T00:34:00+00:00,34,0.7729,1229.0367,unstable,unstable,HIGH,309,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T00:35:00+00:00,35,0.7748,1229.7732,unstable,unstable,HIGH,308,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T00:36:00+00:00,36,1.8948,838.995,unstable,unstable,HIGH,307,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:37:00+00:00,37,8.9109,413.4929,unstable,unstable,HIGH,306,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T00:38:00+00:00,38,10.0029,784.0105,unstable,unstable,HIGH,305,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T00:39:00+00:00,39,10.3551,758.0869,unstable,unstable,HIGH,304,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T00:40:00+00:00,40,10.3426,759.5942,unstable,unstable,HIGH,303,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T00:41:00+00:00,41,1.7726,1166.8438,unstable,unstable,HIGH,302,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:42:00+00:00,42,1.3273,1506.207,unstable,unstable,HIGH,301,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T00:43:00+00:00,43,1.7456,1498.758,unstable,unstable,HIGH,300,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:44:00+00:00,44,1.624,1611.4102,unstable,unstable,HIGH,299,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:45:00+00:00,45,2.1043,1639.8556,unstable,unstable,HIGH,298,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:46:00+00:00,46,2.102,1641.6682,unstable,unstable,HIGH,297,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:47:00+00:00,47,3.4204,1582.3276,unstable,unstable,HIGH,296,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T00:48:00+00:00,48,2.6062,1578.8178,unstable,unstable,HIGH,295,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:49:00+00:00,49,2.3549,1906.2703,unstable,unstable,HIGH,294,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:50:00+00:00,50,1.2877,1841.4719,unstable,unstable,HIGH,293,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T00:51:00+00:00,51,1.541,1898.7574,unstable,unstable,HIGH,292,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:52:00+00:00,52,0.6702,1629.2974,unstable,unstable,HIGH,291,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T00:53:00+00:00,53,0.787,1280.7053,unstable,unstable,HIGH,290,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T00:54:00+00:00,54,2.1704,869.632,unstable,unstable,HIGH,289,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T00:55:00+00:00,55,9.5672,459.1778,unstable,unstable,HIGH,288,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T00:56:00+00:00,56,9.7992,470.2207,unstable,unstable,HIGH,287,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T00:57:00+00:00,57,10.0431,800.6318,unstable,unstable,HIGH,286,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T00:58:00+00:00,58,10.2336,832.0919,unstable,unstable,HIGH,285,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T00:59:00+00:00,59,1.5732,1237.2818,unstable,unstable,HIGH,284,Drift is elevated. Monitor closely for trend continuation.,True
unit_001,2025-01-01T01:00:00+00:00,60,1.0294,1250.0984,unstable,unstable,HIGH,283,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T01:01:00+00:00,61,1.3761,1214.2736,unstable,unstable,HIGH,282,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T01:02:00+00:00,62,1.3851,1214.2036,unstable,unstable,HIGH,281,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T01:03:00+00:00,63,1.2634,1546.6563,unstable,unstable,HIGH,280,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T01:04:00+00:00,64,1.4219,1578.2629,unstable,unstable,HIGH,279,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T01:05:00+00:00,65,1.4236,1586.8917,unstable,unstable,HIGH,278,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T01:06:00+00:00,66,1.4425,1584.6913,unstable,unstable,HIGH,277,System appears stable based on current heuristic interpretation.,True
unit_001,2025-01-01T01:07:00+00:00,67,9.1464,1046.5608,unstable,unstable,HIGH,276,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T01:08:00+00:00,68,8.69,1286.7831,unstable,unstable,HIGH,275,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T01:09:00+00:00,69,8.4889,1299.3485,unstable,unstable,HIGH,274,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T01:10:00+00:00,70,8.797,1297.9992,unstable,unstable,HIGH,273,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T01:11:00+00:00,71,8.6219,1155.8472,unstable,unstable,HIGH,272,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T01:12:00+00:00,72,8.9137,1340.9132,unstable,unstable,HIGH,271,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T01:13:00+00:00,73,7.8871,1150.2174,unstable,unstable,HIGH,270,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T01:14:00+00:00,74,7.1896,1056.6989,unstable,unstable,HIGH,269,High instability detected. Immediate operator review advised.,True
unit_001,2025-01-01T01:15:00+00:00,75,7.4601,967.4034,unstable,unstable,HIGH,268,High instability detected. Immediate operator review advised.,True
