unit_id,n_cycles,last_cycle,rul,true_failure_cycle,warning_cycle,true_lead_time,false_positive
1,321,42,22,64,80,,False
2,299,42,39,81,74,7,False
3,307,42,107,149,76,73,False
4,274,42,75,117,101,16,False
5,193,42,149,191,48,143,False
6,331,42,78,120,82,38,False
7,221,42,94,136,55,81,False
8,230,10,14,24,57,,False
9,334,42,99,141,83,58,False
10,354,42,162,204,88,116,False
11,301,42,143,185,75,110,False
12,272,0,7,7,68,,False
13,256,10,71,81,70,11,False
14,253,42,105,147,63,84,False
15,224,35,12,47,56,,False
16,184,42,160,202,46,156,False
17,151,35,162,197,37,160,False
18,343,0,104,104,105,,False
19,210,42,194,236,52,184,False
20,245,41,82,123,61,62,False
21,227,42,91,133,58,75,False
22,211,42,11,53,67,,False
23,280,19,26,45,70,,False
24,186,25,142,167,46,121,False
25,150,25,39,64,37,27,False
26,297,42,92,134,74,60,False
27,163,10,76,86,40,46,False
28,202,42,124,166,50,116,False
29,247,0,64,64,61,3,False
30,297,41,118,159,76,83,False
31,263,9,6,15,65,,False
32,219,10,22,32,74,,False
33,201,42,147,189,50,139,False
34,276,42,126,168,69,99,False
35,221,42,36,78,79,,False
36,143,9,73,82,35,47,False
37,388,41,89,130,97,33,False
38,177,20,11,31,44,,False
39,202,42,151,193,51,142,False
40,206,42,10,52,51,1,False
41,279,42,97,139,69,70,False
42,280,0,30,30,70,,False
43,223,0,42,42,55,,False
44,203,20,60,80,50,30,False
45,177,42,85,127,44,83,False
46,321,42,134,176,80,96,False
47,375,0,34,34,93,,False
48,322,9,45,54,80,,False
49,446,0,24,24,111,,False
50,172,42,86,128,43,85,False
51,285,42,119,161,71,90,False
52,357,41,151,192,89,103,False
53,304,35,142,177,82,95,False
54,197,42,176,218,49,169,False
55,344,41,157,198,86,112,False
56,347,35,67,102,86,16,False
57,193,42,97,139,48,91,False
58,281,42,8,50,70,,False
59,177,20,154,174,66,108,False
60,218,42,139,181,78,103,False
61,244,20,51,71,61,10,False
62,297,41,33,74,74,0,False
63,170,42,184,226,42,184,False
64,184,42,46,88,54,34,False
65,351,42,12,54,87,,False
66,175,42,133,175,43,132,False
67,167,42,46,88,41,47,False
68,163,42,46,88,40,48,False
69,226,35,12,47,82,,False
70,185,0,33,33,46,,False
71,312,35,15,50,78,,False
72,308,10,176,186,83,103,False
73,181,42,23,65,47,18,False
74,244,41,89,130,85,45,False
75,230,42,124,166,57,109,False
76,152,25,163,188,38,150,False
77,148,10,25,35,37,,False
78,250,41,74,115,,,False
79,218,41,78,119,54,65,False
80,305,0,114,114,76,38,False
81,187,42,96,138,46,92,False
82,197,41,10,51,112,,False
83,184,25,172,197,46,151,False
84,159,42,166,208,39,169,False
85,277,10,115,125,69,56,False
86,232,42,70,112,58,54,False
87,259,35,94,129,64,65,False
88,388,0,56,56,97,,False
89,168,42,86,128,42,86,False
90,212,42,96,138,53,85,False
91,354,42,50,92,88,4,False
92,191,10,73,83,47,36,False
93,196,0,154,154,100,54,False
94,249,41,129,170,62,108,False
95,239,42,171,213,59,154,False
96,270,34,71,105,80,25,False
97,262,35,105,140,65,75,False
98,245,10,113,123,63,60,False
99,167,35,37,72,41,31,False
100,261,42,7,49,65,,False
101,260,25,13,38,65,,False
102,194,0,22,22,53,,False
