timestamp,open,high,low,close,volume
2024-01-01,133.53,134.33,132.88,133.69,470758
2024-01-02,133.07,133.36,132.66,133.12,747119
2024-01-03,133.93,134.05,133.28,133.9,699157
2024-01-04,134.46,135.05,133.83,134.28,557657
2024-01-05,134.97,135.47,134.15,134.64,1074720
2024-01-06,135.3,135.67,134.83,135.39,527672
2024-01-07,136.94,137.16,136.4,137.08,1172093
2024-01-08,136.19,136.44,135.2,136.05,451194
2024-01-09,135.8,136.18,135.02,135.61,1310825
2024-01-10,135.11,135.88,135.03,135.24,611066
2024-01-11,134.97,135.16,134.24,134.73,156975
2024-01-12,134.38,134.76,133.46,134.09,309918
2024-01-13,134.29,134.83,133.26,133.91,1228760
2024-01-14,133.71,133.79,132.86,133.18,1320946
2024-01-15,133.12,133.98,132.48,133.38,396771
2024-01-16,133.41,133.58,132.82,133.41,942967
2024-01-17,133.7,134.17,132.78,133.7,904085
2024-01-18,133.97,134.45,133.72,134.0,287300
2024-01-19,134.17,134.98,133.87,134.36,732793
2024-01-20,133.69,134.65,133.35,134.14,1071403
2024-01-21,135.44,135.51,135.11,135.41,1453976
2024-01-22,135.32,135.79,135.1,135.55,1286733
2024-01-23,134.46,134.89,134.28,134.43,236967
2024-01-24,133.59,134.19,133.28,133.83,432549
2024-01-25,132.46,133.28,131.98,132.79,711395
2024-01-26,132.87,133.43,132.5,132.8,310840
2024-01-27,132.77,133.29,131.94,132.73,898963
2024-01-28,132.62,132.98,132.04,132.44,112064
2024-01-29,134.31,134.34,132.99,133.65,258930
2024-01-30,134.06,134.37,133.53,133.98,166150
2024-01-31,134.56,135.05,133.85,134.42,513682
2024-02-01,133.53,134.04,133.08,133.86,1167151
2024-02-02,132.87,133.78,132.2,133.26,348181
2024-02-03,133.76,134.34,132.87,133.28,1482060
2024-02-04,133.11,133.81,132.61,133.38,477359
2024-02-05,131.96,132.48,131.48,132.27,162832
2024-02-06,132.15,132.31,131.81,132.16,569690
2024-02-07,132.14,132.95,131.66,132.17,1147299
2024-02-08,131.77,132.33,130.92,132.04,249313
2024-02-09,131.46,131.56,131.12,131.55,200607
