timestamp,open,high,low,close,volume
2024-01-01,141.81,141.92,141.66,141.89,1489450
2024-01-02,142.01,142.35,141.64,141.77,135056
2024-01-03,140.08,141.25,139.71,140.54,433627
2024-01-04,140.27,140.74,140.11,140.43,467343
2024-01-05,141.12,141.54,140.66,140.91,457534
2024-01-06,140.15,140.96,139.9,140.33,749207
2024-01-07,139.74,141.05,139.43,140.23,1322074
2024-01-08,140.01,140.3,139.15,139.81,143392
2024-01-09,141.05,141.45,140.18,140.71,1242178
2024-01-10,141.15,141.93,140.75,141.16,964737
2024-01-11,140.97,141.65,140.66,141.55,961279
2024-01-12,142.14,142.74,141.61,141.93,1049634
2024-01-13,141.41,142.1,140.94,141.9,261571
2024-01-14,142.12,142.54,141.51,142.02,1145424
2024-01-15,141.05,141.66,140.83,141.31,447384
2024-01-16,139.65,140.21,139.24,140.0,823204
2024-01-17,139.96,140.29,139.95,140.09,1047629
2024-01-18,140.23,140.74,139.79,140.28,945522
2024-01-19,140.82,141.61,140.26,141.01,552374
2024-01-20,142.13,142.5,141.61,141.95,654491
2024-01-21,142.76,143.31,142.0,142.89,767115
2024-01-22,142.59,143.1,142.07,142.3,157754
2024-01-23,142.17,142.37,141.64,142.08,1116459
2024-01-24,142.16,142.92,141.77,142.37,239932
2024-01-25,143.63,144.46,143.25,143.89,742017
2024-01-26,144.29,145.7,143.91,144.78,1016994
2024-01-27,145.54,145.86,145.03,145.45,212548
2024-01-28,145.11,145.53,144.54,145.22,1493777
2024-01-29,143.98,145.24,143.3,144.69,628113
2024-01-30,145.0,145.73,144.6,145.16,122124
2024-01-31,144.23,144.79,143.67,144.5,1022087
2024-02-01,144.83,145.15,144.1,144.36,880616
2024-02-02,143.78,144.8,143.23,144.29,996464
2024-02-03,144.81,145.48,144.57,145.25,1151412
2024-02-04,145.37,145.68,144.41,145.03,765887
2024-02-05,143.98,144.39,142.73,143.57,1257484
2024-02-06,143.65,144.47,143.27,143.87,618209
2024-02-07,143.26,143.73,143.22,143.45,863286
2024-02-08,143.66,143.69,143.19,143.48,321921
2024-02-09,142.73,143.44,142.08,143.43,967882
