timestamp,open,high,low,close,volume
2024-01-01,63.85,64.27,63.41,63.91,1441216
2024-01-02,64.2,64.66,63.45,64.14,878357
2024-01-03,64.98,65.46,64.32,64.74,380672
2024-01-04,63.99,64.77,63.47,64.1,1274697
2024-01-05,64.18,64.52,63.64,64.03,1222282
2024-01-06,64.84,65.02,64.47,64.92,1486450
2024-01-07,64.44,65.08,64.19,64.47,1011327
2024-01-08,64.23,64.56,63.49,63.98,298234
2024-01-09,63.5,64.72,63.27,64.1,804063
2024-01-10,64.22,65.08,63.68,64.61,727543
2024-01-11,64.17,64.99,63.55,64.61,1280126
2024-01-12,64.71,65.88,64.24,65.41,649601
2024-01-13,65.72,66.71,65.38,65.92,560029
2024-01-14,66.65,67.47,65.94,66.43,212068
2024-01-15,66.68,67.18,66.34,66.76,1269639
2024-01-16,68.22,68.65,67.57,68.16,1157462
2024-01-17,68.36,68.98,68.0,68.04,157718
2024-01-18,67.23,67.46,66.5,66.83,707290
2024-01-19,67.77,68.26,67.77,67.8,771605
2024-01-20,67.93,68.32,67.42,67.52,757057
2024-01-21,67.61,68.08,66.91,67.59,1386503
2024-01-22,68.12,68.6,67.54,68.37,310942
2024-01-23,67.23,67.49,66.98,67.41,528882
2024-01-24,66.21,66.67,66.12,66.66,353297
2024-01-25,65.43,65.87,65.24,65.7,441718
2024-01-26,65.11,65.53,64.82,65.22,1369945
2024-01-27,65.73,66.07,64.6,65.49,1417010
2024-01-28,66.32,67.1,65.31,65.8,162508
2024-01-29,65.55,66.59,65.26,65.97,984928
2024-01-30,65.24,65.44,64.63,65.12,425993
2024-01-31,63.42,64.2,63.33,63.73,369585
2024-02-01,63.91,64.23,63.42,63.76,508883
2024-02-02,63.44,63.82,63.02,63.48,372141
2024-02-03,63.21,64.19,62.83,63.76,786276
2024-02-04,64.46,64.98,63.62,64.18,1493854
2024-02-05,64.08,64.59,63.61,64.26,921023
2024-02-06,64.56,65.33,64.02,64.72,1112540
2024-02-07,64.53,65.03,64.27,64.85,790605
2024-02-08,64.98,65.57,64.4,65.17,119470
2024-02-09,64.88,65.8,64.02,64.75,217761
