timestamp,open,high,low,close,volume
2024-01-01,57.72,58.14,56.97,57.78,766300
2024-01-02,57.99,58.33,57.82,57.92,752379
2024-01-03,57.72,58.17,57.1,57.67,1050986
2024-01-04,58.01,58.62,57.67,58.33,831684
2024-01-05,58.62,59.11,58.2,58.59,1118848
2024-01-06,59.58,60.18,59.32,59.51,1169492
2024-01-07,60.38,60.81,59.29,59.62,1388164
2024-01-08,59.45,59.92,58.23,58.89,1218942
2024-01-09,57.81,58.48,57.29,58.07,824788
2024-01-10,58.97,59.46,58.22,59.06,789014
2024-01-11,59.65,60.35,59.02,60.09,429992
2024-01-12,59.81,60.45,59.32,59.98,939430
2024-01-13,59.85,60.23,59.0,59.75,294789
2024-01-14,60.99,61.81,60.14,60.63,1403730
2024-01-15,59.75,60.68,59.18,59.97,1283061
2024-01-16,59.23,59.91,58.89,59.43,267627
2024-01-17,59.17,60.06,58.76,59.81,1200338
2024-01-18,59.53,59.76,59.27,59.58,263944
2024-01-19,59.26,60.21,58.66,59.57,1109715
2024-01-20,59.32,59.93,59.15,59.48,222792
2024-01-21,59.42,60.18,58.86,59.68,783470
2024-01-22,60.5,60.57,60.13,60.52,1021008
2024-01-23,60.05,61.16,59.42,60.58,1120335
2024-01-24,60.52,61.46,59.97,60.96,686051
2024-01-25,60.37,60.55,58.97,59.73,1390272
2024-01-26,59.32,60.01,58.77,59.7,1184049
2024-01-27,58.87,59.65,58.78,59.2,391570
2024-01-28,59.02,59.43,58.08,58.47,1039723
2024-01-29,58.81,59.15,57.78,57.94,1122748
2024-01-30,57.39,58.12,57.09,57.74,567092
2024-01-31,58.18,58.64,57.48,58.29,1133523
2024-02-01,57.6,58.03,56.97,57.49,1357713
2024-02-02,58.03,58.73,57.25,57.51,1243959
2024-02-03,56.93,57.34,56.73,57.22,1167545
2024-02-04,56.95,57.38,56.55,57.03,988296
2024-02-05,57.86,58.3,57.47,57.63,478748
2024-02-06,58.08,58.54,57.68,57.95,1213312
2024-02-07,58.64,59.08,58.18,58.75,609868
2024-02-08,58.62,58.71,57.99,58.66,845075
2024-02-09,57.83,58.71,57.31,58.24,540215
