timestamp,open,high,low,close,volume
2024-01-01,50.41,50.9,49.99,50.18,431037
2024-01-02,49.72,49.99,49.12,49.56,152377
2024-01-03,49.81,50.34,49.37,50.01,297767
2024-01-04,50.64,50.97,49.9,50.57,876793
2024-01-05,49.44,49.6,48.84,49.4,865524
2024-01-06,48.69,49.18,48.15,48.62,619291
2024-01-07,48.96,49.27,48.01,48.7,533937
2024-01-08,48.58,48.98,48.35,48.51,1261705
2024-01-09,48.7,49.2,48.23,48.5,744047
2024-01-10,48.01,48.5,47.77,47.99,1231552
2024-01-11,48.6,49.13,48.19,48.51,1448496
2024-01-12,49.17,49.55,48.86,48.98,543994
2024-01-13,48.58,49.34,48.06,49.02,383833
2024-01-14,49.6,50.08,49.25,49.7,1434059
2024-01-15,49.84,50.04,49.73,49.98,988763
2024-01-16,49.27,49.57,49.07,49.46,507284
2024-01-17,49.6,49.82,49.14,49.68,970603
2024-01-18,49.56,49.76,48.54,49.11,821079
2024-01-19,49.38,50.11,48.58,49.63,1367745
2024-01-20,49.9,50.11,48.62,49.6,458351
2024-01-21,48.99,49.82,48.51,49.49,1487935
2024-01-22,48.98,49.75,48.78,49.09,1410460
2024-01-23,49.87,50.2,49.79,49.82,352982
2024-01-24,49.9,50.45,49.27,49.73,330450
2024-01-25,49.68,49.9,49.23,49.47,846419
2024-01-26,49.5,49.85,48.94,49.26,162874
2024-01-27,49.47,49.79,49.2,49.58,518317
2024-01-28,49.66,50.13,49.29,49.8,709135
2024-01-29,50.3,50.87,49.43,50.04,1457122
2024-01-30,50.25,50.36,49.81,50.3,1489325
2024-01-31,51.2,52.07,50.84,51.59,312155
2024-02-01,51.0,51.79,50.81,51.34,1348348
2024-02-02,50.76,51.32,50.7,51.04,227300
2024-02-03,50.7,50.81,50.25,50.55,1148051
2024-02-04,50.96,51.37,50.53,50.92,1283899
2024-02-05,51.8,52.1,50.84,51.6,1347109
2024-02-06,51.4,51.97,50.97,51.53,412785
2024-02-07,51.07,51.47,50.43,51.02,1350825
2024-02-08,50.72,51.44,50.23,50.53,262373
2024-02-09,50.83,51.27,50.66,50.92,826401
