timestamp,open,high,low,close,volume
2024-01-01,161.97,162.33,161.32,162.18,106539
2024-01-02,162.79,163.18,162.18,162.72,731818
2024-01-03,162.79,163.63,162.0,163.17,765375
2024-01-04,163.66,164.11,163.57,163.86,985424
2024-01-05,163.65,164.26,163.3,163.85,312041
2024-01-06,164.31,164.39,163.73,164.04,323290
2024-01-07,164.58,165.27,164.34,164.34,1167404
2024-01-08,164.51,164.78,163.82,164.43,1042659
2024-01-09,163.78,165.0,163.44,164.19,1235655
2024-01-10,163.9,164.38,163.35,163.99,478854
2024-01-11,163.28,164.11,162.4,163.5,1496644
2024-01-12,164.01,164.4,163.42,163.75,481970
2024-01-13,164.05,164.44,163.38,163.7,1011347
2024-01-14,163.62,163.9,162.87,163.3,327051
2024-01-15,162.67,163.33,162.08,162.9,1385903
2024-01-16,161.35,162.64,161.07,162.18,565327
2024-01-17,162.23,163.01,161.96,162.76,1223469
2024-01-18,163.24,163.61,162.2,162.81,563751
2024-01-19,162.17,162.57,161.7,162.29,1207186
2024-01-20,162.55,163.64,162.54,162.78,735850
2024-01-21,162.93,163.32,162.29,162.44,187487
2024-01-22,161.98,162.69,160.9,161.6,366587
2024-01-23,162.22,162.58,161.73,162.21,1056814
2024-01-24,161.8,162.34,161.55,161.89,370210
2024-01-25,161.6,161.78,161.24,161.64,485445
2024-01-26,161.73,162.05,161.26,161.67,454268
2024-01-27,162.83,163.27,161.81,162.35,280428
2024-01-28,162.49,163.21,162.24,162.36,974017
2024-01-29,161.86,162.31,161.41,161.64,1064455
2024-01-30,162.32,163.0,161.52,161.97,1126267
2024-01-31,161.33,162.21,160.95,161.68,1421525
2024-02-01,163.04,163.76,162.3,162.81,274291
2024-02-02,162.72,163.2,162.57,162.81,697513
2024-02-03,160.72,162.35,160.24,161.47,427593
2024-02-04,161.05,161.99,160.43,161.69,1361547
2024-02-05,162.55,163.1,162.05,162.85,855708
2024-02-06,163.96,164.12,163.37,163.8,237643
2024-02-07,164.93,165.8,164.52,164.9,1069006
2024-02-08,164.34,164.9,164.05,164.28,160140
2024-02-09,165.42,165.75,164.45,164.83,483841
