timestamp,open,high,low,close,volume
2024-01-01,78.32,78.55,77.16,77.94,1181743
2024-01-02,78.81,78.99,78.21,78.62,1362298
2024-01-03,77.47,77.94,76.5,77.25,247314
2024-01-04,76.54,77.02,75.97,76.35,1478396
2024-01-05,75.9,76.56,75.37,75.8,959547
2024-01-06,76.14,77.3,75.67,76.68,1475313
2024-01-07,76.87,77.24,75.81,76.85,596779
2024-01-08,77.14,77.46,76.57,77.31,1434198
2024-01-09,76.24,76.96,75.98,76.62,924047
2024-01-10,76.45,76.9,75.36,75.95,200550
2024-01-11,76.74,77.1,75.89,76.22,674174
2024-01-12,76.66,76.95,75.95,76.25,292910
2024-01-13,76.66,77.11,76.0,76.58,1417791
2024-01-14,76.88,77.17,76.06,76.47,526253
2024-01-15,76.64,76.91,76.18,76.64,411305
2024-01-16,76.79,77.25,76.33,76.73,874057
2024-01-17,76.87,77.52,76.4,77.2,695226
2024-01-18,77.8,78.25,77.2,77.68,235769
2024-01-19,76.73,77.18,76.7,76.71,1243091
2024-01-20,74.97,75.53,74.44,75.36,1284115
2024-01-21,75.95,76.27,75.74,75.96,1140147
2024-01-22,76.65,77.36,76.54,76.68,963458
2024-01-23,76.6,76.77,75.68,76.06,663580
2024-01-24,75.22,75.24,74.53,74.95,859310
2024-01-25,75.01,75.04,74.75,75.01,829394
2024-01-26,75.64,76.05,75.0,75.57,331435
2024-01-27,76.66,77.06,76.51,76.64,214538
2024-01-28,76.89,77.33,76.57,76.95,454557
2024-01-29,76.41,77.37,76.12,76.73,736066
2024-01-30,76.15,76.33,75.76,76.2,324436
2024-01-31,75.98,76.68,75.52,76.2,249334
2024-02-01,75.65,76.73,75.45,76.02,1292706
2024-02-02,75.57,75.74,74.87,75.41,624995
2024-02-03,76.76,77.08,76.23,76.64,917919
2024-02-04,77.18,77.96,77.16,77.71,833639
2024-02-05,78.36,78.62,78.35,78.4,1129181
2024-02-06,78.14,78.48,77.45,77.84,1135737
2024-02-07,78.67,79.36,78.0,78.36,514446
2024-02-08,79.05,79.81,78.36,78.74,1287070
2024-02-09,79.02,79.35,78.61,79.01,619753
