timestamp,open,high,low,close,volume
2024-01-01,119.8,120.52,119.62,119.98,594231
2024-01-02,120.24,120.93,119.64,120.24,1339130
2024-01-03,120.32,120.63,120.04,120.06,1065265
2024-01-04,119.36,120.23,118.74,119.81,784971
2024-01-05,119.48,119.87,119.09,119.87,495945
2024-01-06,118.1,119.17,117.94,118.72,298294
2024-01-07,119.01,119.2,118.72,119.0,479070
2024-01-08,118.67,119.44,118.47,119.0,313766
2024-01-09,118.91,119.11,118.34,119.03,361920
2024-01-10,119.8,120.31,119.06,119.6,1062547
2024-01-11,118.24,119.04,118.18,118.43,285777
2024-01-12,117.32,117.56,116.93,117.25,166321
2024-01-13,117.32,117.58,117.09,117.41,859276
2024-01-14,117.61,117.64,116.75,117.41,501231
2024-01-15,117.65,118.0,117.38,117.51,736615
2024-01-16,117.02,117.51,116.3,117.23,295702
2024-01-17,117.58,117.72,117.19,117.63,393968
2024-01-18,118.5,118.99,118.02,118.19,717508
2024-01-19,118.6,118.91,118.22,118.48,1066031
2024-01-20,117.9,118.51,117.66,118.32,680095
2024-01-21,117.26,117.54,116.91,117.06,858402
2024-01-22,117.19,118.13,116.78,117.52,830627
2024-01-23,118.68,119.2,118.1,118.25,476404
2024-01-24,118.95,119.32,118.6,118.64,491490
2024-01-25,118.2,118.72,117.79,118.11,696013
2024-01-26,118.56,118.73,118.48,118.52,144861
2024-01-27,118.97,119.44,118.72,119.03,1059553
2024-01-28,120.17,120.6,119.75,119.97,960140
2024-01-29,119.33,119.75,119.11,119.44,528586
2024-01-30,119.38,119.86,118.51,119.31,623205
2024-01-31,120.02,120.26,119.34,119.75,560181
2024-02-01,119.62,120.29,119.17,119.79,1011868
2024-02-02,118.93,119.63,118.89,119.12,1163608
2024-02-03,119.01,119.55,118.74,119.37,252133
2024-02-04,119.4,120.35,118.95,119.71,678646
2024-02-05,119.22,119.98,119.02,119.77,119288
2024-02-06,120.12,120.4,119.32,119.9,733149
2024-02-07,120.29,120.89,119.58,119.74,447611
2024-02-08,121.06,121.4,120.29,120.63,570124
2024-02-09,119.6,120.2,119.32,120.09,739166
