timestamp,open,high,low,close,volume
2024-01-01,92.28,92.44,92.01,92.15,1217936
2024-01-02,92.06,92.38,91.75,92.06,1312602
2024-01-03,92.09,92.66,91.61,92.32,143474
2024-01-04,92.28,92.45,91.9,92.35,925063
2024-01-05,92.36,92.62,92.09,92.42,908366
2024-01-06,92.09,92.4,91.83,92.17,602141
2024-01-07,91.87,92.76,91.08,91.33,1033400
2024-01-08,90.38,91.17,90.15,90.41,672137
2024-01-09,90.73,91.12,89.87,90.8,715568
2024-01-10,90.01,90.96,89.55,90.63,704126
2024-01-11,90.01,90.45,89.43,90.28,1220944
2024-01-12,90.2,90.3,89.9,90.28,986408
2024-01-13,90.55,91.14,90.19,90.76,630665
2024-01-14,91.28,91.48,90.61,90.87,1397477
2024-01-15,90.42,90.86,90.29,90.47,1222882
2024-01-16,91.6,91.68,91.08,91.21,1405891
2024-01-17,92.18,92.42,92.12,92.16,1122701
2024-01-18,92.46,92.89,92.4,92.45,648088
2024-01-19,93.01,93.51,92.85,93.04,1182118
2024-01-20,93.78,94.27,93.12,93.78,560967
2024-01-21,94.98,95.11,94.07,94.46,479300
2024-01-22,94.13,95.4,93.48,94.83,731465
2024-01-23,94.59,95.43,94.11,95.19,1457025
2024-01-24,95.34,96.03,94.78,95.5,895107
2024-01-25,94.85,95.24,94.62,94.84,637170
2024-01-26,95.47,95.59,94.76,95.26,746545
2024-01-27,94.59,94.93,93.9,94.45,507702
2024-01-28,93.86,94.44,93.57,93.97,1022254
2024-01-29,95.06,95.58,94.24,94.75,590594
2024-01-30,95.57,95.94,94.74,95.26,876158
2024-01-31,96.21,96.91,95.86,96.15,617745
2024-02-01,96.28,96.88,95.81,95.99,549001
2024-02-02,95.38,95.73,95.13,95.3,1458330
2024-02-03,94.98,95.7,94.57,95.15,584023
2024-02-04,95.42,96.21,94.75,95.21,198728
2024-02-05,95.29,96.09,95.02,95.26,630029
2024-02-06,95.94,96.1,95.54,95.94,845001
2024-02-07,96.17,96.38,95.21,95.72,232495
2024-02-08,95.2,96.63,94.68,95.94,527958
2024-02-09,94.92,95.53,94.21,95.34,332487
