model_id,bucket,count,expected_accuracy,observed_accuracy
baseline_threshold,0,1,0.18,0.0
baseline_threshold,1,2,0.22192033936679162,0.0
baseline_threshold,3,9,0.7214505566373765,1.0
baseline_threshold,4,6,0.9054061959372807,1.0
baseline_anomaly_zscore,2,1,0.5,0.0
baseline_anomaly_zscore,4,17,0.9327128225216397,0.8823529411764706
baseline_trend_extrapolation,0,4,0.16555300337834616,0.25
baseline_trend_extrapolation,1,2,0.2824180672268908,1.0
baseline_trend_extrapolation,2,4,0.4814433765331506,1.0
baseline_trend_extrapolation,3,4,0.7786116782759778,1.0
baseline_trend_extrapolation,4,4,0.9822142857142857,1.0
neraium_core,0,1,0.0,0.0
neraium_core,1,2,0.299104,0.0
neraium_core,4,15,1.0,1.0
neraium_full_stack,0,1,0.0,0.0
neraium_full_stack,1,2,0.299104,0.0
neraium_full_stack,4,15,1.0,1.0
