model_id,scenario_id,scenario_type,domain,variant,predicted_risk,predicted_unstable,first_alert_step,recommended_intervention,confidence,calibration_probability,intervention_effect,critical_step,actual_unstable
baseline_threshold,stable_system,stable system,manufacturing,base,0.18,False,,none,0.18,0.18,neutral,,False
baseline_anomaly_zscore,stable_system,stable system,manufacturing,base,0.5,False,,none,0.5,0.5,neutral,,False
baseline_trend_extrapolation,stable_system,stable system,manufacturing,base,0.18,False,,none,0.4,0.18,neutral,,False
neraium_core,stable_system,stable system,manufacturing,base,0.0,False,,none,0.02625,0.0,neutral,,False
neraium_full_stack,stable_system,stable system,manufacturing,base,0.0,False,,none,0.02625,0.0,neutral,,False
baseline_threshold,slow_drift,slow drift,manufacturing,base,0.71,True,17,suppress_subsystem_instability,0.71,0.71,helpful,14,True
baseline_anomaly_zscore,slow_drift,slow drift,manufacturing,base,0.8485685011586679,True,,remove_top_driver_contribution,0.8485685011586679,0.8485685011586679,helpful,14,True
baseline_trend_extrapolation,slow_drift,slow drift,manufacturing,base,0.7999999999999999,True,17,remove_top_driver_contribution,0.49,0.7999999999999999,helpful,14,True
neraium_core,slow_drift,slow drift,manufacturing,base,1.0,True,1,remove_top_driver_contribution,0.587584,1.0,helpful,14,True
neraium_full_stack,slow_drift,slow drift,manufacturing,base,1.0,True,1,remove_top_driver_contribution,0.594497,1.0,helpful,14,True
baseline_threshold,oscillatory_instability,oscillatory instability,energy,base,0.6898976647299613,True,,suppress_subsystem_instability,0.6898976647299613,0.6898976647299613,helpful,12,True
baseline_anomaly_zscore,oscillatory_instability,oscillatory instability,energy,base,1.0,True,9,remove_top_driver_contribution,1.0,1.0,neutral,12,True
baseline_trend_extrapolation,oscillatory_instability,oscillatory instability,energy,base,0.5685694821704675,False,2,suppress_subsystem_instability,0.40183379684555603,0.5685694821704675,helpful,12,True
neraium_core,oscillatory_instability,oscillatory instability,energy,base,1.0,True,1,suppress_subsystem_instability,0.388705,1.0,helpful,12,True
neraium_full_stack,oscillatory_instability,oscillatory instability,energy,base,1.0,True,1,suppress_subsystem_instability,0.390002,1.0,helpful,12,True
baseline_threshold,sudden_collapse,sudden collapse,water,base,0.95,True,8,remove_top_driver_contribution,0.95,0.95,helpful,8,True
baseline_anomaly_zscore,sudden_collapse,sudden collapse,water,base,1.0,True,8,remove_top_driver_contribution,1.0,1.0,helpful,8,True
baseline_trend_extrapolation,sudden_collapse,sudden collapse,water,base,1.0,True,8,remove_top_driver_contribution,0.6373626373626373,1.0,helpful,8,True
neraium_core,sudden_collapse,sudden collapse,water,base,1.0,True,8,remove_top_driver_contribution,0.208519,1.0,helpful,8,True
