cycle,state_graph_branching_factor,state_graph_transition_entropy,state_graph_graph_divergence_score,branching_analysis_branch_count_estimate,branching_analysis_decision_tension
20,2.838644,1.0,0.947368,3,1.0
21,2.803504,1.0,0.95,3,0.3676
22,2.807244,1.0,0.952381,3,0.3703
23,3.136932,1.0,0.954545,3,0.43
24,2.84927,1.0,0.956522,3,0.3901
25,2.84393,1.0,0.958333,3,0.387
26,2.801749,1.0,0.96,3,0.3672
27,2.795895,1.0,0.961538,3,0.367
28,3.000289,1.0,0.962963,3,0.3786
29,3.203951,1.0,0.964286,3,0.4065
30,3.020726,1.0,0.965517,3,0.3935
31,3.017003,1.0,0.966667,3,1.0
32,2.994039,1.0,0.967742,3,0.3841
33,2.942355,1.0,0.96875,3,0.3662
34,2.938674,1.0,0.969697,3,0.364
35,3.081973,1.0,0.970588,3,0.3686
36,2.927897,1.0,0.971429,3,0.3613
37,3.13928,1.0,0.972222,3,0.4127
38,2.96047,1.0,0.972973,3,0.3784
39,2.956303,1.0,0.973684,3,0.3797
40,2.915143,1.0,0.974359,3,1.0
41,2.913006,1.0,0.975,3,0.362
42,2.902093,1.0,0.97561,3,1.0
43,2.917628,1.0,0.97619,3,0.3816
44,3.006847,1.0,0.976744,3,0.3906
45,3.152247,1.0,0.977273,3,0.4195
46,2.813188,1.0,0.977778,3,0.3409
47,2.662152,1.0,0.978261,3,0.3236
48,3.171586,1.0,0.978723,3,0.4018
49,2.709415,1.0,0.979167,3,0.3251
50,3.154088,1.0,0.979592,3,0.3981
51,2.923217,1.0,0.98,3,0.377
52,2.944461,1.0,0.980392,3,0.3885
53,2.840164,1.0,0.980769,3,0.3839
54,3.098302,1.0,0.981132,3,0.4243
55,3.210517,1.0,0.981481,3,1.0
56,3.115136,1.0,0.981818,3,0.4352
57,3.063496,1.0,0.982143,3,0.4095
58,3.274554,1.0,0.982456,3,0.4425
59,3.167103,1.0,0.982759,3,0.427
60,3.05528,1.0,0.983051,3,0.4096
61,3.249505,1.0,0.983333,3,0.4367
62,3.298117,1.0,0.983607,3,0.4338
63,3.194622,1.0,0.983871,3,0.4103
64,2.77282,1.0,0.984127,3,0.3533
65,3.295818,1.0,0.984375,3,0.4358
66,3.223002,1.0,0.984615,3,0.4334
67,3.257189,1.0,0.984848,3,0.469
68,3.029685,1.0,0.985075,3,0.4055
69,2.823191,1.0,0.985294,3,1.0
70,3.013965,1.0,0.985507,3,0.3995
71,3.014717,1.0,0.985714,3,0.4019
72,2.96249,1.0,0.985915,3,0.4103
73,3.138676,1.0,0.986111,3,0.4441
74,3.177955,1.0,0.986301,3,0.4248
75,3.051058,1.0,0.986486,3,0.393
76,3.047453,1.0,0.986667,3,0.3915
77,3.169753,1.0,0.986842,3,0.3953
78,3.272325,1.0,0.987013,3,0.8618
79,3.228667,1.0,0.987179,3,0.442
80,3.359744,1.0,0.987342,3,0.4477
81,3.181887,1.0,0.9875,3,0.4256
82,3.166566,1.0,0.987654,3,0.4004
83,3.128469,1.0,0.987805,3,0.3828
84,3.367157,1.0,0.987952,3,0.4332
85,3.453069,1.0,0.988095,3,0.4608
86,3.324175,1.0,0.988235,3,0.4396
87,3.290646,1.0,0.988372,3,0.4496
88,3.187205,1.0,0.988506,3,0.4344
89,3.372999,1.0,0.988636,3,0.4492
90,3.211886,1.0,0.988764,3,0.4119
91,3.275426,1.0,0.988889,3,0.4241
92,3.203644,1.0,0.989011,3,0.4112
93,3.172485,1.0,0.98913,3,0.4214
94,3.198181,1.0,0.989247,3,0.4162
95,3.311736,1.0,0.989362,3,0.4274
96,3.36142,1.0,0.989474,3,0.4338
97,3.380679,1.0,0.989583,3,0.4231
98,3.286002,1.0,0.989691,3,0.5959
99,3.315099,1.0,0.989796,3,0.4129
100,3.347219,1.0,0.989899,3,0.443
101,3.471079,1.0,0.99,3,0.5853
102,3.336707,1.0,0.990099,3,0.4319
103,3.364197,1.0,0.990196,3,0.4666
104,3.32275,1.0,0.990291,3,0.4268
105,3.434178,1.0,0.990385,3,0.4328
106,3.303176,1.0,0.990476,3,0.4177
107,3.24309,1.0,0.990566,3,0.4045
108,3.360164,1.0,0.990654,3,0.428
109,3.424106,1.0,0.990741,3,0.4315
110,3.418671,1.0,0.990826,3,0.4317
111,3.390176,1.0,0.990909,3,0.4372
112,3.503411,1.0,0.990991,3,0.4487
113,3.342128,1.0,0.991071,3,0.4127
114,3.445623,1.0,0.99115,3,0.4378
115,3.44119,1.0,0.991228,3,0.4382
116,3.392597,1.0,0.991304,3,0.4293
117,3.393615,1.0,0.991379,3,0.7749
118,3.621076,1.0,0.991453,3,0.4657
119,3.493077,1.0,0.991525,3,0.4384
120,3.60597,1.0,0.991597,3,0.4604
121,3.526993,1.0,0.991667,3,0.4479
122,3.479895,1.0,0.991736,3,0.4384
123,3.429892,1.0,0.991803,3,0.4473
124,3.505823,1.0,0.99187,3,0.4603
125,3.531649,1.0,0.991935,3,0.4795
126,3.397965,1.0,0.992,3,0.4605
127,3.735616,1.0,0.992063,3,0.5235
128,3.466835,1.0,0.992126,3,0.481
129,3.537824,1.0,0.992188,3,0.4923
130,3.626778,1.0,0.992248,3,1.0
131,3.548695,1.0,0.992308,3,0.5028
132,3.589866,1.0,0.992366,3,0.4982
133,3.717344,1.0,0.992424,3,0.5081
134,3.51772,1.0,0.992481,3,0.4701
135,3.674341,1.0,0.992537,3,0.5054
136,3.523419,1.0,0.992593,3,0.4609
137,3.682478,1.0,0.992647,3,0.4928
138,3.557765,1.0,0.992701,3,0.4551
139,3.587837,1.0,0.992754,3,0.4794
140,3.534074,1.0,0.992806,3,0.4615
141,3.393685,1.0,0.992857,3,0.4413
142,3.734652,1.0,0.992908,3,0.4994
143,3.44418,1.0,0.992958,3,0.4591
144,3.506736,1.0,0.993007,3,0.4682
145,3.664362,1.0,0.993056,3,0.5007
146,3.625512,1.0,0.993103,3,0.5055
147,3.590231,1.0,0.993151,3,0.4992
148,3.699925,1.0,0.993197,3,0.5251
149,3.50949,1.0,0.993243,3,0.9675
150,3.742501,1.0,0.993289,3,0.5266
151,3.657278,1.0,0.993333,3,0.5083
152,3.744368,1.0,0.993377,3,0.5412
153,3.672694,1.0,0.993421,3,0.5087
154,3.562445,1.0,0.993464,3,0.804
155,3.60646,1.0,0.993506,3,0.479
156,3.578655,1.0,0.993548,3,0.4621
157,3.631293,1.0,0.99359,3,0.4723
158,3.566285,1.0,0.993631,3,0.4795
159,3.616685,1.0,0.993671,3,0.4801
160,3.732329,1.0,0.993711,3,0.5119
161,3.57116,1.0,0.99375,3,0.4816
162,3.77589,1.0,0.993789,3,0.7073
163,3.805143,1.0,0.993827,3,0.5387
164,3.656799,1.0,0.993865,3,0.519
165,3.660946,1.0,0.993902,3,0.5256
166,3.75303,1.0,0.993939,3,0.7088
167,3.734043,1.0,0.993976,3,0.5297
168,3.754584,1.0,0.994012,3,0.5209
169,3.714569,1.0,0.994048,3,0.519
170,3.69806,1.0,0.994083,3,0.9967
171,3.750393,1.0,0.994118,3,0.5117
172,3.746926,1.0,0.994152,3,0.4982
173,3.746531,1.0,0.994186,3,0.5006
174,3.600238,1.0,0.99422,3,0.4578
175,3.594419,1.0,0.994253,3,0.4593
176,3.639321,1.0,0.994286,3,0.4762
177,3.652136,1.0,0.994318,3,0.4887
178,3.712966,1.0,0.99435,3,0.4973
179,3.749542,1.0,0.994382,3,0.4958
180,3.695187,1.0,0.994413,3,0.4905
181,3.701923,1.0,0.994444,3,0.4831
182,3.68109,1.0,0.994475,3,0.4945
183,3.765427,1.0,0.994505,3,1.0
184,3.732255,1.0,0.994536,3,0.5009
185,3.642113,1.0,0.994565,3,0.4718
186,3.600903,1.0,0.994595,3,0.7563
187,3.581473,1.0,0.994624,3,0.4432
188,3.721314,1.0,0.994652,3,0.4883
189,3.742548,1.0,0.994681,3,0.5077
190,3.697543,1.0,0.994709,3,0.4981
191,3.760139,1.0,0.994737,3,0.5266
192,3.737817,1.0,0.994764,3,0.5232
193,3.827259,1.0,0.994792,3,0.5563
194,3.79619,1.0,0.994819,3,0.5539
195,3.897518,1.0,0.994845,3,0.5998
196,3.874065,1.0,0.994872,3,0.6005
197,3.91491,1.0,0.994898,3,0.6249
198,3.906489,1.0,0.994924,3,0.6054
199,3.765471,1.0,0.994949,3,0.5602
200,3.816835,1.0,0.994975,3,0.5736
201,3.792431,1.0,0.995,3,0.5638
202,3.806162,1.0,0.995025,3,0.5662
203,3.867958,1.0,0.99505,3,0.5876
204,3.747583,1.0,0.995074,3,0.6112
205,3.722641,1.0,0.995098,3,0.5237
206,3.775098,1.0,0.995122,3,0.5349
207,3.765149,1.0,0.995146,3,0.5238
208,3.838899,1.0,0.995169,3,0.5425
209,3.81772,1.0,0.995192,3,0.5343
210,3.862826,1.0,0.995215,3,0.5497
211,3.726203,1.0,0.995238,3,0.5152
212,3.810095,1.0,0.995261,3,0.5339
213,3.804817,1.0,0.995283,3,1.0
214,3.623113,1.0,0.995305,3,0.5061
215,3.703142,1.0,0.995327,3,0.5255
216,3.736727,1.0,0.995349,3,0.5327
217,3.823171,1.0,0.99537,3,0.5669
218,3.699948,1.0,0.995392,3,1.0
219,3.759302,1.0,0.995413,3,0.5452
220,3.806153,1.0,0.995434,3,0.5558
