unit,metric,before_cycle,after_cycle,delta
1,geometry_path_length,25.0,25.0,0.0
2,geometry_path_length,25.0,25.0,0.0
3,geometry_path_length,25.0,25.0,0.0
4,geometry_path_length,25.0,25.0,0.0
5,geometry_path_length,25.0,25.0,0.0
6,geometry_path_length,25.0,25.0,0.0
7,geometry_path_length,25.0,25.0,0.0
8,geometry_path_length,25.0,25.0,0.0
9,geometry_path_length,25.0,25.0,0.0
10,geometry_path_length,,,
11,geometry_path_length,25.0,25.0,0.0
12,geometry_path_length,25.0,25.0,0.0
13,geometry_path_length,25.0,25.0,0.0
14,geometry_path_length,25.0,25.0,0.0
15,geometry_path_length,25.0,25.0,0.0
16,geometry_path_length,25.0,25.0,0.0
17,geometry_path_length,25.0,25.0,0.0
18,geometry_path_length,25.0,25.0,0.0
19,geometry_path_length,,,
20,geometry_path_length,25.0,25.0,0.0
21,geometry_path_length,25.0,25.0,0.0
22,geometry_path_length,25.0,25.0,0.0
23,geometry_path_length,25.0,25.0,0.0
24,geometry_path_length,25.0,25.0,0.0
25,geometry_path_length,25.0,25.0,0.0
26,geometry_path_length,25.0,25.0,0.0
27,geometry_path_length,25.0,25.0,0.0
28,geometry_path_length,,,
29,geometry_path_length,25.0,25.0,0.0
30,geometry_path_length,25.0,25.0,0.0
31,geometry_path_length,25.0,25.0,0.0
32,geometry_path_length,25.0,25.0,0.0
33,geometry_path_length,25.0,25.0,0.0
34,geometry_path_length,25.0,25.0,0.0
35,geometry_path_length,25.0,25.0,0.0
36,geometry_path_length,25.0,25.0,0.0
37,geometry_path_length,25.0,25.0,0.0
38,geometry_path_length,25.0,25.0,0.0
39,geometry_path_length,25.0,25.0,0.0
40,geometry_path_length,25.0,25.0,0.0
1,state_space_statistics_local_volume,25.0,25.0,0.0
2,state_space_statistics_local_volume,25.0,25.0,0.0
3,state_space_statistics_local_volume,25.0,25.0,0.0
4,state_space_statistics_local_volume,25.0,25.0,0.0
5,state_space_statistics_local_volume,25.0,25.0,0.0
6,state_space_statistics_local_volume,25.0,25.0,0.0
7,state_space_statistics_local_volume,25.0,25.0,0.0
8,state_space_statistics_local_volume,25.0,25.0,0.0
9,state_space_statistics_local_volume,25.0,25.0,0.0
10,state_space_statistics_local_volume,,,
11,state_space_statistics_local_volume,25.0,25.0,0.0
12,state_space_statistics_local_volume,25.0,25.0,0.0
13,state_space_statistics_local_volume,25.0,25.0,0.0
14,state_space_statistics_local_volume,25.0,25.0,0.0
15,state_space_statistics_local_volume,25.0,25.0,0.0
16,state_space_statistics_local_volume,25.0,25.0,0.0
17,state_space_statistics_local_volume,25.0,25.0,0.0
18,state_space_statistics_local_volume,25.0,25.0,0.0
19,state_space_statistics_local_volume,,,
20,state_space_statistics_local_volume,25.0,25.0,0.0
21,state_space_statistics_local_volume,25.0,25.0,0.0
22,state_space_statistics_local_volume,25.0,25.0,0.0
23,state_space_statistics_local_volume,25.0,25.0,0.0
24,state_space_statistics_local_volume,25.0,25.0,0.0
25,state_space_statistics_local_volume,25.0,25.0,0.0
26,state_space_statistics_local_volume,25.0,25.0,0.0
27,state_space_statistics_local_volume,25.0,25.0,0.0
28,state_space_statistics_local_volume,,,
29,state_space_statistics_local_volume,25.0,25.0,0.0
30,state_space_statistics_local_volume,25.0,25.0,0.0
31,state_space_statistics_local_volume,25.0,25.0,0.0
32,state_space_statistics_local_volume,25.0,25.0,0.0
33,state_space_statistics_local_volume,25.0,25.0,0.0
34,state_space_statistics_local_volume,25.0,25.0,0.0
35,state_space_statistics_local_volume,25.0,25.0,0.0
36,state_space_statistics_local_volume,25.0,25.0,0.0
37,state_space_statistics_local_volume,25.0,25.0,0.0
38,state_space_statistics_local_volume,25.0,25.0,0.0
39,state_space_statistics_local_volume,25.0,25.0,0.0
40,state_space_statistics_local_volume,25.0,25.0,0.0
1,state_graph_branching_factor,25.0,25.0,0.0
2,state_graph_branching_factor,25.0,25.0,0.0
3,state_graph_branching_factor,25.0,25.0,0.0
4,state_graph_branching_factor,25.0,25.0,0.0
5,state_graph_branching_factor,25.0,25.0,0.0
6,state_graph_branching_factor,25.0,25.0,0.0
7,state_graph_branching_factor,25.0,25.0,0.0
8,state_graph_branching_factor,25.0,25.0,0.0
9,state_graph_branching_factor,25.0,25.0,0.0
10,state_graph_branching_factor,,,
11,state_graph_branching_factor,25.0,25.0,0.0
12,state_graph_branching_factor,25.0,25.0,0.0
13,state_graph_branching_factor,25.0,25.0,0.0
14,state_graph_branching_factor,25.0,25.0,0.0
15,state_graph_branching_factor,25.0,25.0,0.0
16,state_graph_branching_factor,25.0,25.0,0.0
17,state_graph_branching_factor,25.0,25.0,0.0
18,state_graph_branching_factor,25.0,25.0,0.0
19,state_graph_branching_factor,,,
20,state_graph_branching_factor,25.0,25.0,0.0
21,state_graph_branching_factor,25.0,25.0,0.0
22,state_graph_branching_factor,25.0,25.0,0.0
23,state_graph_branching_factor,25.0,25.0,0.0
