unit,cycle,geometry_path_length_before,state_space_statistics_local_volume_before,state_graph_branching_factor_before,horizon_analysis_risk_horizon_before,geometry_path_length_after,state_space_statistics_local_volume_after,state_graph_branching_factor_after,horizon_analysis_risk_horizon_after,signal_degradation_signal_instability_score,signal_degradation_shape_change_score,signal_degradation_spectral_shift_score
1,1,,,,,,,,,,,
1,2,,,,,,,,,,,
1,3,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,4,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,5,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,6,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,7,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,8,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,9,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,10,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,11,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,12,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,13,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,14,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,15,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,16,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,17,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,18,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,19,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,20,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,21,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,22,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,23,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,24,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
1,25,5710.523049,3.333e-06,2.710752,MID_TERM,5710.523049,3.333e-06,2.710752,MID_TERM,,,
1,26,6188.724479,3.245e-06,2.70978,MID_TERM,6188.724479,3.245e-06,2.70978,MID_TERM,,,
1,27,6384.313114,3.242e-06,2.740425,MID_TERM,6384.313114,3.242e-06,2.740425,MID_TERM,,,
1,28,6580.823532,3.222e-06,2.75558,NEAR_TERM,6580.823532,3.222e-06,2.75558,NEAR_TERM,,,
1,29,7173.910528,3.196e-06,2.758031,NEAR_TERM,7173.910528,3.196e-06,2.758031,NEAR_TERM,,,
1,30,7145.305789,3.161e-06,2.761947,NEAR_TERM,7145.305789,3.161e-06,2.761947,NEAR_TERM,,,
1,31,7147.000022,3.153e-06,2.760538,MID_TERM,7147.000022,3.153e-06,2.760538,MID_TERM,,,
1,32,6952.287824,3.128e-06,2.763753,NEAR_TERM,6952.287824,3.128e-06,2.763753,NEAR_TERM,,,
1,33,7205.300776,3.103e-06,2.795972,NEAR_TERM,7205.300776,3.103e-06,2.795972,NEAR_TERM,,,
1,34,7776.009134,3.093e-06,2.771938,NEAR_TERM,7776.009134,3.093e-06,2.771938,NEAR_TERM,,,
1,35,7817.382597,3.085e-06,2.808557,MID_TERM,7817.382597,3.085e-06,2.808557,MID_TERM,,,
1,36,7422.842564,3.068e-06,2.801468,MID_TERM,7422.842564,3.068e-06,2.801468,MID_TERM,,,
1,37,6947.936251,3.054e-06,2.764976,MID_TERM,6947.936251,3.054e-06,2.764976,MID_TERM,,,
1,38,7284.417736,3.047e-06,2.780616,MID_TERM,7284.417736,3.047e-06,2.780616,MID_TERM,,,
1,39,7130.076119,3.043e-06,2.779012,MID_TERM,7130.076119,3.043e-06,2.779012,MID_TERM,,,
1,40,6678.815915,3.029e-06,2.776225,MID_TERM,6678.815915,3.029e-06,2.776225,MID_TERM,,,
2,1,,,,,,,,,,,
2,2,,,,,,,,,,,
2,3,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,4,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,5,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,6,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,7,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,8,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,9,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,10,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,11,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,12,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,13,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,14,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,15,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,16,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,17,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,18,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,19,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,20,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,21,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,22,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,23,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,24,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
2,25,9638.222404,3.45e-06,2.746321,MID_TERM,9638.222404,3.45e-06,2.746321,MID_TERM,,,
2,26,9427.838562,3.344e-06,2.731092,MID_TERM,9427.838562,3.344e-06,2.731092,MID_TERM,,,
2,27,8682.203597,3.317e-06,2.72461,MID_TERM,8682.203597,3.317e-06,2.72461,MID_TERM,,,
2,28,8787.208927,3.307e-06,2.720374,NEAR_TERM,8787.208927,3.307e-06,2.720374,NEAR_TERM,,,
2,29,9018.430134,3.293e-06,2.69188,NEAR_TERM,9018.430134,3.293e-06,2.69188,NEAR_TERM,,,
2,30,8636.285579,3.26e-06,2.718746,MID_TERM,8636.285579,3.26e-06,2.718746,MID_TERM,,,
2,31,8663.56511,3.243e-06,2.695626,MID_TERM,8663.56511,3.243e-06,2.695626,MID_TERM,,,
2,32,7734.666044,3.23e-06,2.715,NEAR_TERM,7734.666044,3.23e-06,2.715,NEAR_TERM,,,
2,33,7492.665861,3.207e-06,2.69094,NEAR_TERM,7492.665861,3.207e-06,2.69094,NEAR_TERM,,,
2,34,7382.457597,3.196e-06,2.721674,NEAR_TERM,7382.457597,3.196e-06,2.721674,NEAR_TERM,,,
2,35,7525.866866,3.189e-06,2.729861,NEAR_TERM,7525.866866,3.189e-06,2.729861,NEAR_TERM,,,
2,36,7503.278332,3.196e-06,2.742882,NEAR_TERM,7503.278332,3.196e-06,2.742882,NEAR_TERM,,,
2,37,7266.56619,3.177e-06,2.708636,MID_TERM,7266.56619,3.177e-06,2.708636,MID_TERM,,,
2,38,6184.431094,3.159e-06,2.709604,MID_TERM,6184.431094,3.159e-06,2.709604,MID_TERM,,,
2,39,5654.918039,3.151e-06,2.687216,MID_TERM,5654.918039,3.151e-06,2.687216,MID_TERM,,,
2,40,5076.936159,3.135e-06,2.681183,MID_TERM,5076.936159,3.135e-06,2.681183,MID_TERM,,,
3,1,,,,,,,,,,,
3,2,,,,,,,,,,,
3,3,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,4,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,5,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,6,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,7,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,8,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,9,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,10,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,11,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,12,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,13,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,14,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,15,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,16,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,17,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,18,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,19,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,20,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,21,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,22,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,23,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,24,,,,LONGER_HORIZON,,,,LONGER_HORIZON,,,
3,25,6971.90704,3.403e-06,2.747428,MID_TERM,6971.90704,3.403e-06,2.747428,MID_TERM,,,
3,26,6380.405201,3.3e-06,2.721369,MID_TERM,6380.405201,3.3e-06,2.721369,MID_TERM,,,
3,27,6425.965876,3.267e-06,2.74517,MID_TERM,6425.965876,3.267e-06,2.74517,MID_TERM,,,
3,28,6842.491525,3.257e-06,2.744704,NEAR_TERM,6842.491525,3.257e-06,2.744704,NEAR_TERM,,,
3,29,7333.878462,3.248e-06,2.770124,NEAR_TERM,7333.878462,3.248e-06,2.770124,NEAR_TERM,,,
3,30,7478.077187,3.227e-06,2.799149,NEAR_TERM,7478.077187,3.227e-06,2.799149,NEAR_TERM,,,
3,31,7418.43798,3.229e-06,2.802253,NEAR_TERM,7418.43798,3.229e-06,2.802253,NEAR_TERM,,,
3,32,7379.86954,3.219e-06,2.795993,NEAR_TERM,7379.86954,3.219e-06,2.795993,NEAR_TERM,,,
3,33,7430.405546,3.206e-06,2.7729,NEAR_TERM,7430.405546,3.206e-06,2.7729,NEAR_TERM,,,
3,34,7063.13388,3.172e-06,2.763419,NEAR_TERM,7063.13388,3.172e-06,2.763419,NEAR_TERM,,,
3,35,6443.229838,3.155e-06,2.801809,NEAR_TERM,6443.229838,3.155e-06,2.801809,NEAR_TERM,,,
3,36,6031.029383,3.138e-06,2.766202,NEAR_TERM,6031.029383,3.138e-06,2.766202,NEAR_TERM,,,
3,37,5741.322255,3.122e-06,2.771139,MID_TERM,5741.322255,3.122e-06,2.771139,MID_TERM,,,
3,38,5403.022284,3.107e-06,2.748595,MID_TERM,5403.022284,3.107e-06,2.748595,MID_TERM,,,
3,39,5488.912365,3.098e-06,2.720978,MID_TERM,5488.912365,3.098e-06,2.720978,MID_TERM,,,
3,40,5319.137992,3.082e-06,2.713735,MID_TERM,5319.137992,3.082e-06,2.713735,MID_TERM,,,
